Song_ID,Section,"Matrix Number (song #, take #)",Performer,Title of Track,"Date Performed (exact)","Date Performed (estimate)",Year,Place Performed,Record Label and Number,Record Label,"Instrumentation (first listed is performer)","Arrangers/Composer/Performers, etc (if provided)",Composers and Performers Normative Spelling,Other notes
S19,16.1,19249-,Hyman Adler,"Gott, Mensch Und Teufel: Mismor Le David ",3/3/1911,,1911,NY,Co rej,Columbia,"Tenor, Orchestra",Joseph Brody (composer),Joseph Brody (composer),
S20,16.1,19249-,Hyman Adler,Dis Heilige Sekele,5/10/1911; 5/15/1911; 5/17/1911,,1911,NY,"Ed 10009 (4 min), 10062 (4 min)",Edison,"Tenor, Orchestra",Otto Motzan (composer),Otto Motzan (composer),
S21,16.1,19249-,Hyman Adler,Die New-Yorker Treren,5/10/1911; 5/15/1911; 5/17/1911,,1911,NY,"Ed 10010 (4 min), 10063 (4 min)",Edison,"Tenor, Orchestra",H. Altman (composer),Hyman Altman (composer),
S22,16.1,19249-,Hyman Adler,Dus Pitzaly Kind  ,5/10/1911; 5/15/1911; 5/17/1911,,1911,NY,Ed 21024 (2 min),Edison,"Tenor, Orchestra",Otto Motzan (composer),Otto Motzan (composer),
S23,16.1,19249-,Hyman Adler,Shabes Koidesh  ,5/10/1911; 5/15/1911; 5/17/1911,,1911,NY,Ed 21025 (2 min),Edison,"Tenor, Orchestra",Otto Motzan (composer),Otto Motzan (composer),
S24,16.1,19249-,Hyman Adler,Kasar Tuira ,5/10/1911; 5/15/1911; 5/17/1911,,1911,NY,Ed 21026 (2 min),Edison,"Tenor, Orchestra",Otto Motzan (composer),Otto Motzan (composer),
S25,16.1,19249-,Hyman Adler,Yom Hachupo ,5/10/1911; 5/15/1911; 5/17/1911,,1911,NY,Ed 21027 (2 min),Edison,"Tenor, Orchestra",,,
S26,16.1,19249-,Hyman Adler,Moishe Rabeinu ,5/10/1911; 5/15/1911; 5/17/1911,,1911,NY,Ed 21028 (2 min),Edison,"Tenor, Orchestra",,,
S27,16.1,19249-,Hyman Adler,Al Tashlichenu ,5/10/1911; 5/15/1911; 5/17/1911,,1911,NY,Ed 21029 (2 min),Edison,"Tenor, Orchestra",,,
S28,16.1,19249-,Hyman Adler,Wejiten L'cho  ,5/10/1911; 5/15/1911; 5/17/1911,,1911,NY,Ed 21030 (2 min),Edison,"Tenor, Orchestra",Joseph Rumshisky (composer),Joseph Rumshinsky (composer),
S29,16.1,19249-,Hyman Adler,Hot Ihr Nit Gesehn Mein Moishe  ,5/10/1911; 5/15/1911; 5/17/1911,,1911,NY,Ed 21031 (2 min),Edison,"Tenor, Orchestra",Arnold Perlmutter & Herman Wohl (composers),"Arnold Perlmutter (composer), Herman Wohl (composer)",
S30,16.2,x,"Sholom Aleichem 
[Solomon Rabinowitz]
(1859-1916)",If I Were Rothschild-A Joyful Holiday,9/7/1915,,1915,NY,Vi 60144,Victor,Spoken,,,
S31,16.3,43677-2,"Jeanne Alfred
(as Jeanne Feinberg)",Rosinkes Mit Mandlen,,1916,1916,NY,Co E2856,Columbia,"Soprano, Orchestra",Abraham Goldfadden (composer),Abraham Goldfaden (composer),
S32,16.3,x,Jeanne Feinberg,Rosinkes Mit Mandlen,10/30/1916,,1916,NY,Vi trial,Victor,"Soprano, Piano",Edward T. King (piano),Edward T. King (piano),
S33,16.3,B 21755-1,Jeanne Alfred,Kleine Micheleke,4/10/1918,,1918,NY,Vi 72352,Victor,Soprano & Orchestra,Nathaniel Shilkret (director),Nathaniel Shilkret (director),
S34,16.3,B 21756-2,Jeanne Alfred,Aliluli Schluf-Cradle Song,4/10/1918,,1918,NY,Vi rej,Victor,Soprano & Orchestra,Nathaniel Shilkret (director),Nathaniel Shilkret (director),
S35,16.3,B 21756-4,Jeanne Alfred,Aliluli Schluf-Cradle Song,6/6/1918,,1918,NY,Vi 72352,Victor,Soprano & Orchestra,Nathaniel Shilkret (director),Nathaniel Shilkret (director),
S36,16.3,8019,Jeanne Alfred,Hatikvoh (The Song of Zion),9/1921,,1921,NY,Vo 14268,Vocalion,Soprano & Orchestra,Naftali Hertz Imber (text),Naftali Herz Imber (text),
S37,16.3,8150,Jeanne Alfred,Rosinkes Mit Mandlen-Jewish Lullaby ,10/1921,,1921,NY,Vo 14268,Vocalion,Soprano & Orchestra,Abraham Goldfaden (composer),Abraham Goldfaden (composer),
S38,16.3,9357,Jeanne Alfred,Meyerke Mein Suhn ,,07/1922,1922,NY,Vo 14397,Vocalion,Soprano & Orchestra,Ravel & Bowers (composers),"Maurice Ravel (composer), Bowers (composer)",
S39,16.3,9362,Jeanne Alfred,Geh Ich Mir Schpatzieren ,,07/1922,1922,NY,Vo 14397,Vocalion,Soprano & Orchestra,,,
S40,16.4,41031-2,Rev. William Alperovitz,Umipnei Chatoeinu-Pt. 1 ,,03/1920,1920,NY,Em 13054,Emerson,Vocal & Organ,,,
S41,16.4,41032-1,Rev. William Alperovitz,Umipnei Chatoeinu-Pt. 2 ,,03/1920,1920,NY,Em 13054,Emerson,Vocal & Organ,,,
S42,16.4,41030-1 / 41047-1,Rev. William Alperovitz,Rachmono,,03/1920,1920,NY,Em 13057,Emerson,Vocal & Organ,,,"Matrix number not provided in Spottswood, taken from FAU archive"
S43,16.5,503-A,Isaac Angel,Falsa I Mentirosa-Nina Gazel,09/1923,,1923,NY,Espagnol Ge (?),Gennett,Vocal,,,Probably sung in Ladino
S44,16.5,504-A,Isaac Angel,A Granada,09/1923,,1923,NY,Espagnola Ge (?),Gennett,Vocal,,,Probably sung in Ladino
S45,16.6,W 108031-1,Mischa Appelbaum ,"Die Chasidim, Der Rebbi Un Der Gabbi",06/1927,,1927,NY,Co 8143-F,Columbia,Baritone & Orchestra,,,
S46,16.6,W 108032-1,Mischa Appelbaum,Feige Mit'n Kugel,06/1927,,1927,NY,Co 8143-F,Columbia,Baritone & Orchestra,,,
S47,16.7,BVE 41228-2,Arbeiter Ring Chor (Workmen's Circle Chorus),Mai Lied (May Song),12/13/1927,,1927,NY,Vi 80602,Victor,Chorus & Orchestra,Meyer Posner (composer and director); Alfredo Cibelli (director),"Meyer Posner (composer), Meyer Posner (director), Alfredo Cibelli (director)",
S48,16.7,BVE 41229-2,Arbeiter Ring Chor ,Potpourri-Jewish Folk Songs,12/13/1927,,1927,NY,Vi 80602,Victor,Chorus & Orchestra,Meyer Posner (arranger and director); Alfredo Cibelli (director),"Meyer Posner (composer), Meyer Posner (director), Alfredo Cibelli (director)",
S49,16.7,CVE 41230-2,Arbeiter Ring Chor,"Avram, Avram",12/13/1927,,1927,NY,"Vi 68937 (12"")",Victor,Chorus & Orchestra,Meyer Posner (arranger and director); Alfredo Cibelli (director),"Meyer Posner (composer), Meyer Posner (director), Alfredo Cibelli (director)",
S50,16.7,CVE 41231-1,Arbeiter Ring Chor,Siberia,12/13/1927,,1927,NY,"Vi 68937 (12"")",Victor,Chorus & Orchestra,Meyer Posner (arranger and director); Alfredo Cibelli (director),"Meyer Posner (composer), Meyer Posner (director), Alfredo Cibelli (director)",
S51,16.8,BS 062894-1,Bagelman Sisters,Ich Hob Dich (You Are Mine),03/26/1941,,1941,NY,"Vi V-9090, 25-5052",Victor,"Vocals & unk tp, vln, p, Sos",Charles Tauber & Sholom Secunda (composers); Dave Tarras (instruments),"Charles Tauber (composer), Sholom Secunda (composer), Dave Tarras (instruments)",
S52,16.8,BS 062895-1,Bagelman Sisters,Ai-Digidai-Polka,03/26/1941,,1941,NY,"Vi V-9086, 25-5048",Victor,"Vocals & unk tp, vln, p, Sos",A. Ellstein (composer); Dave Tarras (instruments),"Abraham Ellstein (composer), Dave Tarras (instruments)",
S53,16.8,BS 062896-1,Bagelman Sisters,Sing Es Mir Nochamul (Tell It To Me Again),03/26/1941,,1941,NY,"Vi V-9086, 25-5048",Victor,"Vocals & unk tp, vln, p, Sos",J. Jacobs & A. Ellstein (composers); Dave Tarras (instruments),"Jacob Jacobs (composer), Abraham Ellstein (composer), Dave Tarras (instruments)",
S54,16.8,BS 062897-1,Bagelman Sisters,Sug Farvus (Tell Me Why),03/26/1941,,1941,NY,"Vi V-9090, 25-5052",Victor,"Vocals & unk tp, vln, p, Sos",J. Jacobs & A. Ellstein (composers); Dave Tarras (instruments),"Jacob Jacobs (composer), Abraham Ellstein (composer), Dave Tarras (instruments)",
S55,16.8,BS 065065-1,Barry Sisters,Joey's Got A Girl,04/29/1941,,1941,NY,Std T-2013,Standard ,"Vocals, tp, tb, cl, p, g, Sos, dms","Milton Leeds, Fred Wise, & Joe Lazarz (composers); Sammy Meade's Orchestra (orchestra)","Milton Leeds (composer), Fred Wise (composer), Joe Lazarz (composer), Sammy Meade's Orchestra (orchestra)",
S56,16.8,BS 065066-1,Barry Sisters,Pound Your Table Polka (One More Chorus),04/29/1941,,1941,NY,Std T-2005,Standard ,"Vocals, tp, tb, cl, p, g, Sos, dms","Harry Lenk, Kerwin Drake, & D. Zattas (composers); Sammy Meade's Orchestra (orchestra)","Hans Lengsfelder (composer), Kerwin Drake (composer), D. Zattas (composer), Sammy Meade's Orchestra (orchestra)",
S57,16.8,BS 065067-1,Barry Sisters,Pussy Cat Agony Five,04/29/1941,,1941,NY,Std T-2013,Standard ,"Vocals, tp, tb, cl, p, g, Sos, dms",S.K. Russell & Mart Fryberg (composers); Sammy Meade's Orchestra (orchestra),"Bob Russell (composer), Mart Fryberg (composer), Sammy Meade's Orchestra (orchestra)",
S58,16.8,BS 065068-1,Barry Sisters,Old Chief Walla Hoo,04/29/1941,,1941,NY,Std T-2005,Standard ,"Vocals, tp, tb, cl, p, g, Sos, dms",Clarence A. Stout (composer); Sammy Meade's Orchestra (orchestra),"Clarence A. Stout (composer), Sammy Meade's Orchestra (orchestra)",
S59,16.8,BS 073389-1,Bagelman Sisters,A Vaibele A Tsnien (A Good Wife),03/12/1942,,1942,NY,"Vi V-9108, 25-5070",Victor,"Vocals & tp, vln, cl, p,Sos ",Joseph M. Rumshinsky (composer); Isidor Lillian (words); J. Levitt (tp); Giulietta Morino (vln); Dave Tarras (cl); Abe Ellstein (p); Charles Galazan (sos) ,"Joseph Rumshinsky (composer), Isidore Lillian (words), J. Levitt (tp), Giulietta Morino (vln), Dave Tarras (cl), Abraham Ellstein (p), Charles Galazan (sos) ",
S60,16.8,BS 073390-1,Bagelman Sisters,Pacht Mit Die Hent (Slap Your Hands) ,03/12/1942,,1942,NY,"Vi V-9106, 25-5068",Victor,"Vocals & tp, vln, cl, p,Sos ",A. Ellstein (composer); J. Levitt (tp); Giulietta Morino (vln); Dave Tarras (cl); Abe Ellstein (p); Charles Galazan (sos) ,"Abraham Ellstein (composer), J. Levitt (tp), Giulietta Morino (vln), Dave Tarras (cl), Abraham Ellstein (p), Charles Galazan (sos) ",
S61,16.8,BS 073391-1,Bagelman Sisters,"Zog, Zog, Zog Es Mir (Tell Me)",03/12/1942,,1942,NY,"Vi V-9106, 25-5068",Victor,"Vocals & tp, vln, cl, p,Sos ",Charles Tauber & Ilia Trilling (composers); J. Levitt (tp); Giulietta Morino (vln); Dave Tarras (cl); Abe Ellstein (p); Charles Galazan (sos) ,"Charles Tauber (composer), Ilia Trilling (composer), J. Levitt (tp), Giulietta Morino (vln), Dave Tarras (cl), Abraham Ellstein (p), Charles Galazan (sos) ",
S62,16.8,BS 073392-1,Bagelman Sisters,Prost In Pushet (Plain and Simple),03/12/1942,,1942,NY,"Vi V-9108, 25-5070",Victor,"Vocals & tp, vln, cl, p,Sos ",M. Picon & A. Ellstein (composers); J. Levitt (tp); Giulietta Morino (vln); Dave Tarras (cl); Abe Ellstein (p); Charles Galazan (sos) ,"Molly Picon (composer), Abraham Ellstein (composer), J. Levitt (tp), Giulietta Morino (vln), Dave Tarras (cl), Abraham Ellstein (p), Charles Galazan (sos) ",
S63,16.9,67970,Belle Baker,Duvid Hamelech's Fidel,,11/1919,1919,NY,"Pat 49114, 040220 (12""), 03580 (10'')",Pathe,Vocals & Orchestra,,,
S64,16.9,68005,Belle Baker,Eli Eli,,11/1919,1919,NY,"Pat 49114, 040220 (12''), 03580, Pe 11163 (10'')",Pathe,Vocals & Orchestra,,,
S65,16.9,CVE 33566-2,Belle Baker,"Eili Eili (Father, Why Hast Though Forsaken Me?)",10/13/1925,,1925,NY,Vi 35762 (12''),Victor,"Vocals & c, 2 vln, fl, vc, p, bbs ",Belle Baker (arranger); Nathaniel Shilkret (director),"Belle Baker (arranger), Nathaniel Shilkret (director)",
S66,16.9,CVE 33567-3,Belle Baker,My Yiddishe Momme (My Jewish Mother),10/13/1925,,1925,NY,Vi 35762 (12''),Victor,"Vocals & c, 2 vln, fl, vc, p, bbs ",Jack Yellen & Lew Pollack (composers); Nathaniel Shilkret (director),"Jack Yellen (composer), Lew Pollack (composer), Nathaniel Shilkret (director)",
S67,16.9,XE 37030,Belle Baker,David Hamelech,08/1931,,1931,NY,"Br 20101, 85002, 0104 (12"")",Brunswick ,Vocals & Orchestra,Victor Young (director),Victor Young (director),
S68,16.9,XE 37031,Belle Baker,Eili Eili,08/1931,,1931,NY,"Br 20101, 85002, 0104 (12'')",Brunswick,Vocals & Orchestra,Victor Young (director),Victor Young (director),
S69,16.10,CO 32544-1,Jan Bart,Zmiros,03/03/1942,,1942,NY,Co 8229-F,Columbia,Tenor & Orchestra,Sholom Secunda & J. Jacobs (composers); Sholom Secunda (director),"Sholom Secunda (composer), Sholom Secunda (director), Jacob Jacobs (composer) ",
S70,16.10,CO 32545-1 ,Jan Bart,Hatzlichoh No-Palestinian Folk Melody,03/03/1942,,1942,NY,Co 8229-F,Columbia,Tenor & Orchestra,H. Leftkowitch (arranger); Sholom Secunda (director),"Harry Lefkowitch (arranger), Sholom Secunda (director)",
S71,16.10,CO 32546-1 ,Jan Bart,Mein Zeiere,03/03/1942,,1942,NY,Co 8230-F,Columbia,Tenor & Orchestra,I. Trilling & O. Ostroff (composers); Sholom Secunda (director),"Ilia Trilling (composer), Oscar Ostroff (composer), Sholom Secunda (director)",
S72,16.10,CO 32547,Jan Bart,Amcho,03/03/1942,,1942,NY,Co 8230-F,Columbia,Tenor & Orchestra,Sholom Secunda & C. Towber (composers); Sholom Secunda (director),"Sholom Secunda (composer), Sholom Secunda (director), C. Towber (composer)",
S73,16.11,E 28584,Harry Beckerman's Metronome Orchestra,Ich Benk A Heim (Longing For My Home)-Doina ,10/30/1928,,1928,NY,Br 67129,Brunswick,Orchestra (5-men),Harry Beckerman (composer),Harry Beckerman (composer),
S74,16.11,E 28585,Harry Beckerman's Metronome Orchestra,Trauben Zeit (Vintage Time)-Bulgar,10/30/1928,,1928,NY,Br 67129,Brunswick,Orchestra (5-men),,,
S75,16.12,89565-2,Shloimke Beckerman,Hot Azoi,,12/1923,1923,NY,Co 8013-F,Columbia,Clarinet & Orchestra,Abe Schwartz (director),Abe Schwartz (director),
S76,16.12,89566-1,Shliomke Beckerman,Ismechu,,12/1923,1923,NY,Co 8013-F,Columbia,Clarinet & Orchestra,Abe Schwartz (director),Abe Schwartz (director),
S77,16.12,x,Shliomke Beckerman,"T'kias ""Shofer Blosen""",,12/1923,1923,NY,Co 8036-F,Columbia,Clarinet & Orchestra,Abe Schwartz (director),Abe Schwartz (director),
S78,16.12,x,Shliomke Beckerman,A Galitzianer Tenzil,,12/1923,1923,NY,Co 8036-F,Columbia,Clarinet & Orchestra,Abe Schwartz (director),Abe Schwartz (director),
S79,16.13,11232-B,Cantor Shlomo Beinhorn (as Mr. S. Beinhorn),Al Tiro Mipachad,11/15/1922,,1922,"Richmond, IN",Ge,Gennett,Cantor,,,
S80,16.13,11233-B,Mr. S. Beinhorn,Oshamnu Mikol Om,11/15/1922,,1922,"Richmond, IN",Ge,Gennett,Cantor,,,
S81,16.13,11234,Mr. S. Beinhorn,Vieni Sul Mar,11/15/1922,,1922,"Richmond, IN",Ge,Gennett,Cantor,,,In Italian?
S82,16.13,11248-B,Mr. S. Beinhorn,Oshamnu Mikol Om,11/29/1922,,1922,"Richmond, IN",Ge,Gennett,Cantor,,,
S83,16.13,11249-A,Mr. S. Beinhorn,Al Tiro Mipachad,11/29/1922,,1922,"Richmond, IN",Ge,Gennett,Cantor,,,
S84,16.13,11250,Mr. S. Beinhorn,Mi Chamocha,11/29/1922,,1922,"Richmond, IN",Ge,Gennett,Cantor,,,
S85,16.13,N 105617,Cantor Shlomo Beinhorn,"V'lyrushalayim, From Keshinever Stadt Shul",10/1924,,1924,NY,Pat 100,Pathe,Cantor & Organ,,,
S86,16.13,N 105618,Cantor Shlomo Beinhorn,Al Tiroh,10/1924,,1924,NY,Pat 100,Pathe,Cantor & Organ,,,
S87,16.13,755-1,Cantor Shlomo Beinhorn,Elohai Neshama,,1920s,1920,NY,"Hazimru B-3017 (12"")",?,Cantor & Piano,Meyrowec (composer),David Meyerowitz (composer),
S88,16.13,756-1,Cantor Shlomo Beinhorn,Uvamakheilos,,1920s,1920,NY,"Hazimru B-3017 (12"")",?,Cantor & Piano,Rumisinsky (composer),Joseph Rumshinsky (composer),
S89,16.14,BS 028347-1,Sidor Belarsky,Volga,11/1/1938,,1938,NY,"Vi V-21120, 26-5016",Victor,Baritone & Piano,Anaviev (arranger); Lazar Weiner (piano),"Anaviev (arranger), Lazar Weiner (piano)",In Russian
S90,16.14,BS 028348-1 ,Sidor Belarsky,Dem Zeidens Bruche,11/1/1938,,1938,NY,"Vi V-9043, 25-5010, 25-5155, 53-5155 (45)",Victor,Baritone & Piano,Sidor Belarsky (arranger); Lazar Weiner (piano),"Sidor Belarsky (arranger), Lazar Weiner (piano)",
S91,16.14,BS 028349-1 ,Sidor Belarsky,Student's Song,11/1/1938,,1938,NY,"Vi V-21120, 26-5016",Victor,Baritone & Piano,Ippolitovvanov (composer); Lazar Weiner (piano),"Mikhail Mikhaylovich Ippolitov-Ivanov (composer), Lazar Weiner (piano)",In Russian
S92,16.14,BS 028350-1 ,Sidor Belarsky,Dem Milner's Trern (The Miller's Tears),11/1/1938,,1938,NY,"Vi V-9043, 25-5010, 25-5155, 53-5155 (45)",Victor,Baritone & Piano,Warshavsky (composer); Lazar Weiner (piano),"Mark Markovich Warshawsky (composer), Lazar Weiner (piano)",
S93,16.14,BS 036581-1 ,Sidor Belarsky,Veulai,03/02/1939,,1939,NY,Vi rej,Victor,"Baritone, violin, cello, piano",Shertok (composer),Yehudah Sharett (composer),
S94,16.14,BS 036582-1 ,Sidor Belarsky,Sholosh Sudos ,03/02/1939,,1939,NY,Vi rej,Victor,"Baritone, violin, cello, piano",Sidor Belarsky (arranger),Sidor Belarsky (arranger),
S95,16.14,BS 036583-1 ,Sidor Belarsky,Georgian Melody ,03/02/1939,,1939,NY,Vi rej,Victor,"Baritone, violin, cello, piano",Prozorovsky (composer),Boris Prozorovsky (composer),In Russian
S96,16.14,BS 036584-1 ,Sidor Belarsky,I Greave ,03/02/1939,,1939,NY,Vi rej,Victor,"Baritone, violin, cello, piano",A. Dargomyshsky (composer),Alexander Dargomyzhsky (composer),In Russian
S97,16.14,BS 036585-1 ,Sidor Belarsky,Shir Hashamisha ,03/02/1939,,1939,NY,Vi rej,Victor,"Baritone, violin, cello, piano",M. Zeira (composer),Mordechai Zeira (composer),
S98,16.14,BS 036586-1 ,Sidor Belarsky,Dos Gebet,03/02/1939,,1939,NY,Vi rej,Victor,"Baritone, violin, cello, piano",I.L. Peretz & Roskin (composers),"Yitskhok Leybush Peretz (composer), Janot Roskin (composer)",
S99,16.14,BS 036972-1 ,Sidor Belarsky,Sholosh Sudos ,03/23/1940,,1940,NY,"Vi V-9051, 25-5018",Victor,Baritone & Piano,Sidor Belarsky (arranger) ,Sidor Belarsky (arranger) ,
S100,16.14,BS 036973-1 ,Sidor Belarsky,Yam Lied (Sea Song),03/23/1940,,1940,NY,"Vi V-9051, 25-5018",Victor,Baritone & Piano,J. Halevy & Schneyer (composers),"Judah Halevi (composer), M. Schneyer (composer)",
S101,16.14,BS 036974-1 ,Sidor Belarsky,Veulai,03/23/1940,,1940,NY,"Vi V-9052, 25-5019, 51-0007 (45)",Victor,Baritone & Piano,Shertok (composer),Yehudah Sharett (composer),
S102,16.14,BS 036975-1,Sidor Belarsky,Shir Hashamisha ,03/23/1940,,1940,NY,"Vi V-9052, 25-5019",Victor,Baritone & Piano,M. Zeira (composer),Mordechai Zeira (composer),
S103,16.14,RS 805-B ,Sidor Belarsky,Zwei Briv,,1940,1940,NY,Musicraft 2,Musicraft Records,Baritone & Piano,Engel & Pinski (composers); Lazar Weiner (piano),"Joel Engel (composer), David Pinski (composer), Lazar Weiner (piano)",Musicraft label note: ''Specifically recorded for the Jewish Daily Forward''
S104,16.14,RS 806-B,Sidor Belarsky,Shabes Beim Shalosh Sudos,,1940,1940,NY,Musicraft 2,Musicraft Records,Baritone & Piano,A.W. Binder (composer); Lazar Weiner (piano),"Abraham Wolf Binder (composer), Lazar Weiner (piano)",Musicraft label note: ''Specifically recorded for the Jewish Daily Forward''
S105,16.14,RS 807-C,Sidor Belarsky,A Nign,,1940,1940,NY,Musicraft 1,Musicraft Records,Baritone & Piano,Lazar Weiner (composer); Lazar Weiner (piano),"Lazar Weiner (composer), Lazar Weiner (piano)",Musicraft label note: ''Specifically recorded for the Jewish Daily Forward''
S106,16.14,RS 808-E,Sidor Belarsky,Viglid,,1940,1940,NY,Musicraft 3,Musicraft Records,Baritone & Piano,Yampolski (composer); Lazar Weiner (piano),"Leyb Yampolsky (composer), Lazar Weiner (piano)",Musicraft label note: ''Specifically recorded for the Jewish Daily Forward''
S107,16.14,RS 809-B,Sidor Belarsky,Zeit Gezund,,1940,1940,NY,Musicraft 4,Musicraft Records,Baritone & Piano,Lazar Weiner (piano),Lazar Weiner (piano),Musicraft label note: ''Specifically recorded for the Jewish Daily Forward''
S108,16.14,RS 810-C,Sidor Belarsky,Reizele,,1940,1940,NY,Musicraft 4,Musicraft Records,Baritone & Piano,M. Gebirtig (composer); Lazar Weiner (piano),"Mordechai Gebirtig (composer), Lazar Weiner (piano)",Musicraft label note: ''Specifically recorded for the Jewish Daily Forward''
S109,16.14,RS 811-C,Sidor Belarsky,Der Balagole,,1940,1940,NY,Musicraft 1,Musicraft Records,Baritone & Piano,Lazar Weiner (piano),Lazar Weiner (piano),Musicraft label note: ''Specifically recorded for the Jewish Daily Forward''
S110,16.14,RS 812-B,Sidor Belarsky,Shterendl,,1940,1940,NY,Musicraft 3,Musicraft Records,Baritone & Piano,Lazar Weiner (piano),Lazar Weiner (piano),Musicraft label note: ''Specifically recorded for the Jewish Daily Forward''
S111,16.14,RS 857-A ,Sidor Belarsky,We Sat Together ,,1940,1940,NY,Musicraft 251,Musicraft Records,Baritone & Piano,Tschaikowsky (composer); Ivan Basilevsky (piano),"Pyotr Ilyich Tchaikovsky (composer), Ivan Basilevsky (piano)",In Russian
S112,16.14,RS 859-B ,Sidor Belarsky,Not A Word ,,1940,1940,NY,Musicraft 251,Musicraft Records,Baritone & Piano,Tschaikowsky (composer); Ivan Basilevsky (piano),"Pyotr Ilyich Tchaikovsky (composer), Ivan Basilevsky (piano)",In Russian
S113,16.14,RS 860-A ,Sidor Belarsky,Autumn,,1940,1940,NY,Musicraft 253,Musicraft Records,Baritone & Piano,Tschaikowsky (composer); Ivan Basilevsky (piano),"Pyotr Ilyich Tchaikovsky (composer), Ivan Basilevsky (piano)",In Russian
S114,16.14,RS 86i-B ,Sidor Belarsky,Florentine Song,,1940,1940,NY,Musicraft 253,Musicraft Records,Baritone & Piano,Tschaikowsky (composer); Ivan Basilevsky (piano),"Pyotr Ilyich Tchaikovsky (composer), Ivan Basilevsky (piano)",In Russian
S115,16.14,RS 862-A ,Sidor Belarsky,Lullaby,,1940,1940,NY,Musicraft 252,Musicraft Records,Baritone & Piano,Tschaikowsky (composer); Ivan Basilevsky (piano),"Pyotr Ilyich Tchaikovsky (composer), Ivan Basilevsky (piano)",In Russian
S116,16.14,RS 863-A ,Sidor Belarsky,Night,,1940,1940,NY,Musicraft 252,Musicraft Records,Baritone & Piano,Tschaikowsky (composer); Ivan Basilevsky (piano),"Pyotr Ilyich Tchaikovsky (composer), Ivan Basilevsky (piano)",In Russian
