NAME
Simon Tenovsky Orchestra
"Corman, William"
"Avni, Yitskhak"
"Avraham, Mordechai"
"Avrom, Ben"
"Avron, C."
"Avron, Nisen Cohen"
Avronin (Heb)
"Avronin, A (Heb)"
"Avsholom, Zfira"
"Avtor,"
"Awdiejew, A. (Polish)"
"Awdiejew, Alosza"
"Axelrod, Avrom"
"Aykhl, Shmuel"
"Azikri, Aliza"
"Azkari, Rabbi Eliezer"
"Azkinazi, Rabbi Yosef (attributed)"
"Aznavour, Charles"
B'nai Bouzouki
B'nai Bouzouki / Y'did Singers
B'nai Shalom Singers
Beth Abraham Youth Chorale
"Brandt, Ted"
"Babajanyan, Arno"
Babel
Baberad
"Babin,"
"Babin, Lazar"
"Bach, Johann Sebastian"
"Bachleda, Sichelski and Stanislaw"
"Bachrach / Yablakoff, Eng"
Baczkowski Orchestra
"Bader, Sheyne Rukhl"
"Bagdasarian, Ross"
Bagg Street Klezmer Band
"Bagley, Cantor David"
"Bahr, Robert Yosef"
"Bahrarav, M."
"Baiazheieur, P."
"Baker, Israel"
"Bakon, Khazn Israel"
"Bakon, Rabbi H. L."
"Bal Shem Tov, Israel (1700-1760)?"
"Bal Shem Tov, Reb Israel"
Balalaike Russe
"Balan, Moshe"
"Balan, Moshe (?)"
"Balan, Moshe / Ben Ben-Tsion"
"Balchat, Adam"
Balkan Rhythm Band
"Balkin, Tuvia"
"Balsam, Artur"
Baltimore Klezmer Orch
"Bampton, Rose"
"Banai, Gavriel"
"Banai, Yosi"
"Banchieri, Adriano"
Banot Khave (Daughters Of Eve)
"Bar Am, A."
"Bar Kol, M."
"Bar Niv, Rami"
"Bar Oz, Avraham"
"Bar, Shimon"
"Bar, Shimon and Aliza Kashi"
"Bar, Shimon and choir"
"Bar, Shlomo"
"Bar-Aba, Shlome / Aviva Paz"
"Bar-Aba, Shlome and Megila 83 Ens"
"Bar-El, Rina"
Bar-Oz
Bar-Sela's Symphonic Band
"Barak, Batia, reading"
"Barak, D."
"Barak, Dovid"
"Barak, Dovid (Heb)"
"Baras, Jack"
"Barash, Jack"
"Barash, Morris"
"Baratz, Miriam"
"Baraz, A."
"Barazani, Rafi"
Barber Samuel (1910-1981
Barbour
"Barder, Vili, vocal"
"Barder, Vilya & Alex Koffman"
"Barditshever, Reb Levi Yitskhok"
"Barditshever, Zelig"
"Barditshiver, Reb Levi Yitskhok"
"Baredes, Ezra (Egypt)"
"Barkan, Sarah"
"Barkani, Khiam"
"Barkin, Cantor Jacob"
"Barkin-Sandler, Sara"
"Barnes, Milton & Buchbinder, arr"
"Barnes, Milton"
"Barnes, Rolf"
"Barnes, Rolfe & M. Tornick, cond"
"Barniv, R."
"Baron, A. L."
"Baron, Andrea"
"Barova, A., alto/ V. Bauer, barit"
"Barrat, Sylvie, violin"
"Barreaux, Gerard"
"Barrett, M. & Steven Blier, piano"
"Barrios, Tomas & Martiano"
Barroso
Bagelman Sisters
Barry Sisters
Barry Sisters / Seymour Rekhtzeyt
"Bart, Jan"
Barton Brothers
"Bartsch, Tom"
Baruch Brothers Choir
"Barukhin, Nava"
"Barzel, A., S. Shomri & A. Assa"
"Barzel, Amos"
"Barzilay, A."
Bas Sheva
"Bas, Shmuel"
"Bashan, Igal"
"Bashan, Yigal"
"Basilevsky, Ivan"
"Basin, Moyshe"
"Bass, Shmuel"
"Bass, Franta"
"Bass, S."
"Bass, Sh."
"Bass, Werner S."
"Basse, Eli"
Batsal Yarok Company
Batsheva
"Baumgarten, Mendel"
"Baumgarten, Shneur Zalman"
"Bavel, Zamir"
Bay Mir Bistu Sheyn Company
Bay Mir Bistu Sheyn Orchestra
Bayit Rotschild Band
Bayit Rotschild Singers and Band
"Bayzler, Ben & Brave Old World"
"Barak, Cantor Roslyn"
"Bayzler, Ben"
"Becaud, Gilbert Francois"
"Becaud, Gilbert /Didi Manossi, Heb"
"Bechet, Sidney"
"Becker, Rosalie"
"Beckerman, Sam"
"Beckerman, Shloymke"
"Beckerman, Sid"
"Beekman, Jack"
"Beeler, Irene"
"Beeler, Irene, piano accomp"
"Beer Rose, piano/ Meir Beer, drums"
"Beer, Rose, piano/ Meir Beer, drum"
"Beer, Rose, piano/Meir Beer, drums"
Beersheba Chamber Orchestra
Beersheeba Chamber Orchestra
"Beethoven, Ludwig van"
Beethoven/ Firstman
"Behrend, Siegfried"
"Behr, Benny"
"Beigel, Fishl"
"Bejder, E."
"Belarsky, Sidor"
"Belasco, Henry"
"Belenkaya, E. A."
Belf's Romanian Orchestra
"Belfer, Florence"
"Belfer, Cantor Ben"
Rumynskii Orkestr Belfa
Belfs Rumeynishe Orchestra
"Belgrado, Rabbino Fernando"
Belina
Belina & Siegfried Behrend
Belina and Jens Brenke
"Belkherovits, Misha, arr and cond"
"Belkherovits, Misha, arranger"
"Bell, Benny"
"Bell, Naomi"
"Bellman, Carl Michael (1740-1795)"
"Bellman, Carl Michael (1749-1985)"
"Bellos, Vivian, soprano"
"Ben Avisahay, Sabbatai Chabib"
"Ben Avraham, Michael"
"Ben David, Mordekhe"
"Ben Ezra, Miriam"
"Ben Gurion, David"
Ben Hakana Rabbi Nechunia (attrib)
Ben Israel
"Ben Israel, J., arr"
"Ben Israel, Shlomo, Yid"
"Ben Israel, Yosef, Yid"
"Bar Yehudah of Rome, Daniel"
"Ben Judah of Rome, Daniel"
"Ben Lev, Abraham"
"Ben Moshe, Rafi"
"Ben Moshe, Rafi, arr & cond"
"Ben-Porat, Tsvi"
"Ben Samuel, Rabbi Barukh"
"Ben Shakh, Gilad"
"Ben Shakhar, Mordecai"
"Ben Shaul, M."
"Ben Shaul, Moshe"
"Ben Shmuel, Rabbi Barukh (d.1221)"
"Ben-Tsvi, Tova"
Ben Yehuda
"Ben Yosef, Tsm'a"
"Ben Ze'ev, Avraham"
"Ben Zimet, arr"
"Ben-Ami, David Refael"
"Ben-Amitai, Levy"
"Ben-Amitay, J."
"Ben-Amitay, Regina"
"Ben-David, Y"
"Ben-David, Yorik, arranger"
"Ben-Ezer, Yuval"
"Ben-Gurion, David"
"Ben-Horin, Akiva"
"Ben-Hur, Oded"
"Ben-Joseph, Z."
"Ben-Khaim, E."
"Ben-Khaim, E. (1897- )"
"Ben-Khaim, Ephraim"
"Ben-Hayim, Yosef"
"Ben-Lavrat, Donash"
"Ben-Shira, Shlomo"
"Ben-Tsion, Ben (Relu Croitoru)"
"Ben-Tsion, Ben/ Uria Alexendar"
"Ben-Tsvi, Ruth, percussion"
"Ben-Yehoshua, Anat"
"Ben-Yohanan, Asher"
"Ben-Yosef, Tsvi"
"Ben-Zacharia Ha Levi, Rabbi David"
"Ben-Zav, Avrom"
"Ben-Ze'ev, A."
"Benabu, Rena"
"Benatsky, R."
"Benatzky, Ralph"
"Benet, Khaim"
"Benichou, A."
"Benichou, A., arranger"
"Benichou, Pierre, guitar & arr"
"Benjamin, Dr Sheldon"
"Benjamin, Sarah"
"Benjamin, Sheldon"
"Bennet, Richard Dywer, Eng Transl"
"Bennett, Lawrence E."
"Bennis, Phil & Chorus"
"Bennis, Phil & Others"
"Bennis, Phil, Others and Chorus"
"Benny, B. and D. Yankelevich"
"Benor, Sarah"
Bensman
"Bensman, M."
"Benya, Masha"
"Benya-Matz, Masha"
"Benzell, Mimi and Company"
"Benzell, Mimi and Robert Weede"
"Benzell, Mimi, Robert Weede & Comp"
"Benzion, Aaron"
"Benzion, Aron & Suki & Deng chorus"
"Benzion, Aron / Suki & Deng chorus"
"Ber, Shimon"
"Bercovici, Bebe"
"Berditshev, Reb Levi Yitskhok"
"Berditshever, Reb Levi Yitskhok"
"Berenfield, Rabbi Mordkhe"
"Berens, Harold, host"
"Beregovski, Moshe"
"Berezovsky, Shaul"
"Berg, H. van den, arr"
"Berg, Neora"
"Bergelson, Dovid"
Berger Leon Choir
"Berger, Gustav"
"Berger, Khazanim Meir and Leon"
"Berger, Khazn Meir"
"Berger, Khazn, Meir"
"Berger, Leon"
"Berger, Leon Choir"
"Bergholtz, B."
"Bergin, Anders"
Bergman
"Bergman, M."
"Bergovic, Goran"
Beriozka
"Berk, Phyllis"
"Berkman, Louis, baritone"
"Berkovitch, Bebe"
"Berkowits, Cantor Abraham"
"Berlin, Irving"
"Berlin, Irving (Eng Orig)"
"Berlin, Irving (1888-1989)"
"Berlin, Irving (Orig)"
"Berlin, Moshe (Mussa)"
"Berlinski, Herman"
"Berlinski, Cantor Shalom"
"Berman, Beni"
"Berman, Henry"
"Berman, Marcia"
"Berman, Marcia and Dan Crow"
"Berman, Marcia and Ensemble"
"Berman, S. D./ Grossman, I., piano"
"Bern, Alan"
"Bern, Mina"
"Bernac, Pierre"
"Bernand, Georges"
"Bernard, Gil"
"Bernard, Gil, French"
"Bernard, Rhoda & David Schrag"
"Bernard, Rhoda"
Bernardi / Pine
"Bernardi, Herschel"
"Bernd't, Sonia"
"Berne, Alan"
"Bernie, Saul"
"Bernshteyn, M., Yid"
"Bernstein, Abraham M."
"Bernstein, Jennie"
"Bernstein, Jennie (1918-1991)"
"Bernstein, Leonard"
"Bernstein, Leonard, Israel Philhar"
"Bernstein, Leonard, NY Philharmon"
"Berri, Suki, musical arrangements"
"Berry, Suki"
"Berry, Suki, musical arrangements"
"Bershadsky, Ilya, leader"
"Bertini, Gary"
"Bertret, G. / Bolland, D., arr"
"Bertret, G. / Bolland, Didier, arr"
"Bertret, G. / Didier Bolland, arr"
"Bertron, J."
Beskman
"Bespolaov, Rabbi Yaakov Mordecai"
"Best, Larry"
Beth Abraham Chorale & Orch
Beth Abraham Youth Chorale & Orch
Beth El Junior Choral Society
"Beth-Eytan, Alice, soloist"
Betti / Seelen / Horenz
"Beutler, Ann/ Phyllis Bruce"
"Bevaux, Jacques & Claude Francois"
"Beyder, Khaim"
"Beyglman, David"
Beyglemen Sisters
"Beyteleman, Gustavo Orch Cond"
"Beytelman, Gustavo"
"Beytelman, Gustavo & L. Castillo"
"Beytelman, Gustavo Orch Cond"
"Beytelman, Gustavo y L. Castillio"
"Beytelman, Gustavo y L. Castillo"
"Beytelman, Gustavo, Orch Cond"
"Beytelman, Gustavo, Orch. Cond"
"Beytelman, Gustovo, Orch Cond"
"Beytleman, Gustavo Orch Cond"
"Bialik, K. H. / A. I. Cohon, Eng"
"Bialik, Kh. N. / I.J. Shvarts, Yid"
"Bialik, Khaim Nakhman"
"Bialostoki, Zygmunt"
"Bialostotsky, B. J."
"Bianco, Eduardo"
"Biederman, Shlomo"
"Bien, Harvey, narration"
"Bien, Cantor Harvey"
"Bien, Cantor Harvey & Choir"
"Bien, Cantor Harvey and Choir"
"Biermann, Wolf"
"Biggers, W. W."
Bik
"Bikel, Theodore"
"Binder, Abraham Wolf"
"Binetski, Pesakh (1912-1966)"
"Biota, Pablo, arr & piano"
"Biota, Pablo, arr and musical dir"
"Birnbaum, Abraham B."
"Birnbaum, Edward"
"Birnbaum, Elliot, cond"
"Birnbaum, Elliot, conductor"
"Birnbaum, Jankel"
"Birnbaum, Martha Rock"
"Birnbaum, Martin"
"Birnbaum, Philip"
"Birnov, L."
"Bishko, Markus"
"Bishko, Markus & Alaska Klezmer"
Bishop
Bitan Yoram
"Bitan, Yoram"
"Bitan, Yoram & Sheli Ovdat"
"Bitan, Yoram, arr"
"Biterman, Renata & Estera Katz"
"Biton, Bitan"
"Bitter, Albert"
Bixio
"Bizet, Georges"
"Bjorling, Kurt"
"Bjorling, Kurt & Alan Bern"
"Bjorling, Kurt (as to the Doyna)"
"Black, Bob, mandolin"
"Black, Stanley"
"Blackburn, T."
"Blane, Ralph"
"Blank, Leon"
"Blank, R."
"Blatner, Marvey"
"Blekherovitz, A. & U. Abramovits"
"Blekherovitz, Aliza"
"Blekherovitz, Misha"
"Blekherovitz, Shaul"
Bliekman
"Blindin, A. ?"
"Bliss, Tamara"
"Blitental, Dan"
"Blits, Tsalel"
"Blitz, J., arranger"
"Blitz, T. Z."
Bloch cond London Philharm Orch
"Bloch, Ernest"
"Bloch, Cantor Charles B."
"Bloch, Cantor Robert"
"Bloemendal, Cantor Hans"
Bluestein Family
"Bluestein, Gene"
"Bluestein, Gene & Chidren Chorus"
"Bluestein, Gene & Ellie, Eng"
"Bluestein, Gene, Eng"
Bluestine Family
"Bluestine, Gene and Jemmy, Eng"
Blum / Blum
"Blum, Khaim David of Chrzanov"
"Blum, Khaim David of Sandz"
"Blum, Rabbi C. D."
"Blume, H., arranger"
"Blumenfeld, Diana"
Blumenthal
"Blyth, Peter"
Bnai Jeshurun Adult & Youth Choirs
"Boardman, Cantor Joseph"
Boaz
Bob Merrill
"Bober, Dany"
Boboslavsky
Bobover Khasidic Chorus
Bobover Khasidim
"Bobrineva, Raissa"
"Bock, Jerry"
"Bodo, Yakov"
"Bogdan, Thomas"
"Bogle, Eric"
"Bogoslovsky, N."
"Bogzester, William"
"Bohan, Gary"
"Bohm, Sofia & Freilach Express"
"Bohm, Tomas & Freilach Exp"
Boiberik Camper - 1999 Reunion
Boiberik Camper 1972
Boiberik Camper at 1999 reunion
"Boiberik Camper, 1999 reunion"
Boiberik Campers
Boiberik Campers 1972
Boiberik Counselors
Boiled In Lead
"Bokov, V."
"Bokov, Y, A Lisker & A Koffman"
"Bokov, Yuri & Alex Kofman, arr"
"Boland, Didier"
"Boland, Didier & Orch"
"Boland, Didier Orchestra"
"Boldberg, Ben"
"Bomstein, Leonid"
"Bondar, Ilja"
"Bonerre, Simona"
Boney Yerushalayim Group
"Bonfant, Samuel Ben Abraham"
"Bonfils, Jean"
"Boni, Rene"
"Bonime, Josef"
"Bonus, Ben"
"Boogich, Jack"
"Boogich, Jack (Yankel Bughici)"
Booker - Feinerman
"Booker, Bob & George Foster"
"Boone, P."
"Boone, Pat"
"Boorla, Oded"
"Booth, Alan, piano"
"Boothman, Donald, Baritone"
"Borbolis, H."
"Borbolis, Khaim (Ioannina, Greece)"
"Bord, Avraham and Wedding Guests"
"Borel, J. and T. Zizman"
"Borenstein, J."
"Borenstein, Khazn Pinkhos"
"Borissova, Galina"
"Borkowska, Urzula"
"Borock, Joe"
"Borodin, Alexander"
"Borodo, I."
"Borts, Joanne"
"Borukhovitsh, Y. (in the style of)"
"Bosch, Hanno, violin"
Boshkovska Trio
"Bovshover, Yosef"
"Boscovich, Alexander Uriyah"
"Bosmi, Nava"
Boston Camerata
Bostoner Rebbe
"Botton, Cantor Richard"
"Botton, Cantor Richard, baritone"
"Botton, Richard, bariton"
"Botton, Richard, baritone"
"Botwinik, David"
"Bourget, Paul"
"Bourke, Briain & De Dannan"
Bourree
"Bouskela, Ezra"
"Bouzali, Khaim / Moshe Latif"
"Bouzkela, Ezra"
"Bowlly, Al & Lew Stone and Band"
"Boyarska, Rive"
Boyberiker Kapelye
"Boymvol, Rukhl"
"Boys Choir, Instit of Relig Music"
"Bozik, Reyzl"
"Brachat, Adam"
"Bragg, Billy, guitar & vocal"
Brahe
"Brahm, Helene, piano"
"Brahms, Johannes"
"Brall, Ruth contralto"
"Brandes, Nancy, arranger"
Brandow
"Brandt, Ted, clarinet"
"Brandwein, Howard, trumpet"
"Brandwine, Howard, trumpet"
"Brandwein, Naftule"
Naftule Brandwein Orchestra
"Brandwein, Naftule Orchestra"
"Brangel, Jozefa Orchestra"
"Branovskaya, R. E."
"Braslavsky, Samuel"
"Braslavsky, Solomon G., piano"
"Brassens, Georges"
"Brat, Yitskhak"
Bratislava Radio Symphony Orch
"Bratslav, Reb Nakhman, adapted"
"Brauer, Timna"
"Braun, Ivo, trumpet"
"Braun, Yekheskl"
Brave Old World
"Bravlasky, Solomon G., piano"
"Brazil, Shmuel"
Bread and Candy Ensemble
"Brecht, Bertolt"
"Bredholt, Henrik"
"Bregman, R."
Bregman/ Vocco / Cahn
"Brenke, Jens"
"Breslor, Harav Shmuel"
Breslov Khasidim
"Bresnick, M. arr"
"Bressler, Judy"
"Bressler, Judy & Jeff Warschauer"
"Bressler, Judy & Yitskhak Perlman"
"Bressler, Judy, speaker"
"Breytman, David"
"Breytman, David, accordion"
"Brice, Fanny"
Bricusse / Newley
"Bridgewater, Rowland, solo"
"Briegh, Philippe, arr"
"Brik, Esther"
"Brikhto, Rabbi Mendel"
"Brill, Bruce"
"Brill, Willi"
"Brin, Ruth F."
"Brindell, Harold & Moshe Levy"
"Bring, Lou, Orch Cond"
"Bring, Lou, dir choir and orch"
"Brinkman, Walter, guitar"
"Brinner, Reb Yosef Asher"
"Brisker, Yankl"
"Briskin, Barnett, conductor"
"Britt, A. / R. Turk"
"Britten, Benjamin"
"Britton, R. / Eng"
"Broder, Berl"
"Broderson, Moyshe"
"Brodey, Marianna"
"Brodskaya, Nina"
"Brody, Joseph"
"Brody, Lauren"
"Brodyn, Maxim"
"Broides, Avraham"
"Broides, M."
Bromberg
"Bromberg, David"
Bronner Brothers
"Bronner, Gerhard"
"Bronner, Simon & Fred.. Richmond"
"Bronstein, B., arranger"
"Bronstein, Rabbi Schneur Zalman"
"Bronstein, Rabbi Shneur Zalman"
"Brooks, Joe"
"Brooks, Nat"
"Brooks, Shelton"
"Broshi, A."
Brosoi
"Brotman, Stuart"
"Browda, Rae, conductor"
Brown
"Brown, Himan"
"Brown, Jack, vocal solo"
"Brown, Laurence, arr"
"Brown, Lawrence, arr"
"Brown, Lawrence, arr., piano"
"Brown, Lawrence, piano"
"Brown, Lillian and Marian"
"Brown, Lucy, piano"
"Brown, Warren H. organist and dir"
"Brownshtein, P."
"Broydes, A / Shimon Osovitski, Yid"
"Broydes, A."
"Broydo, Kasriel"
"Broza, D."
"Bruce, Phyllis / Ann Beutler"
"Bruch, Max"
Bruckner (?)
Bruder Dudu
"Bruderson, Moyshe"
"Brudno, Avrom"
"Bruh, Emil"
"Bruh, Emil Trio"
"Bruh, Emil Trio, accomp"
"Bruh, Emil and Ensemble"
"Brukner, Marek"
"Bruman, E., piano"
"Brumberg, Abe"
"Brummer, Cantor Philip"
"Brun, Khazn Abraham"
"Brunoff, Platon G."
"Bruns, George"
"Bruns, G. / Mickey Katz"
"Brunswick, Helen, organist"
"Bucci, Mark"
Bucharest Jewish State Theater
Bucharest Jewish Theatre Orch
"Buchbinder, David"
"Buchbinder/Cesar/Van de Ven, arr"
Bucherest Yiddish State Theatre
"Buchholz, Moshe, flautist"
"Buchholz, Moshe, flutist"
"Bucholz, Moshe, arr"
"Buck, Greta, violin"
Budapester Klezmer Band
Budowitz
"Buell, Uncle Ruthie (New Verses)"
"Bugatch, (Shmuel) Samuel"
Bukovinian Song and Dance Ensemble
"Bulakhov, Petr Petrovich"
Bulka Irit & Vic Tavor
"Buloff, Joseph"
"Bunal, Jean, guitar acc."
"Bunim, Shmuel"
"Bunin, Z"
"Bunnell, Jane mezzo soprano"
"Burgin, Nekhemia, piano"
"Burk, David Joshua, violin"
"Burkard, Paul"
"Burkard, Paul / M. Kressyn, Yid"
"Burleigh, Harry Thacker"
"Burmeister, Anneliese"
"Burns, Robert"
"Burrows, Derek"
"Burrows, Derek & Jay Rosenberg"
"Burrows, Derek/ Voice Of...Turtle"
Khasene In Shtetl Ensemble
"Burstein, Mike"
"Burstein, Peysekhke"
"Burtan, Emil Frantisek"
Burton Sisters
"Buschanski, R."
"Bussey, Aaron"
"Butler Charles, solo trumpet"
"Butsi, M."
"Byk, M."
"Byl, N."
"Byle, N."
Byrne
"Byron, Don"
"Byron, Don & Orch"
CBS (Israel) Orchestra
CBS Israel Dance Orch
CBS Israel Dance Orchestra
CBS Israel Orch and Choir
"CBS Israel Orch, Gil Aldema, cond"
CBS Israel Orchestra
CBS Israel Orchestra and Choir
CBS Israel Symphony Orch
CBS Israel Symphony Orchestra
CBS Israel Symphony and Choir
CBS Israeli Dance Orchestra
CBS Orchectra and Choir
"Caballe, Monserrat, soprano"
Cadicamo
Caesar
"Cahana, Atalia, Etty Grottes"
"Cahana, Dalit"
"Cain, Yosl"
"Caine, Uri"
"Calek, Yigal & Yad Bezemer Orch"
"Calek, Yigal Y., arr"
Camara Orchestra
"Cameran Singers, Avner Itai, cond"
Canciello/Firstman
"Cannon, Gus & H. Woods"
"Canteloube, Joseph, arranger"
Cantor
"Cantor, Eddie"
"Capaido, G."
Capital Klezmers
"Capurro, E."
"Carey, David"
"Carlebach, Rabbi Shlomo"
"Carmel, D."
"Carmel, Dov"
"Carmichael, Hogie"
"Carnovsky, Morris"
"Carroll, Irv & Orchestra"
"Carter, C. C."
"Casbianca, Maya"
"Casey, Bernie & Pinkard"
