"sponsorID","sponsorName","sponsorInstitutionType","sponsorType"
"SPR1035","Jewish Music Workers Alliance","-","Publisher"
"SPR1036","Jewish P.O.C.E.T","-","Record Label"
"SPR1037","Jewish Parents Institute of the JCC","-","Record Label"
"SPR1038","Jewish People’s Philharmonic Chorus in New York","Ensemble/Artist (musical)","Commissioned"
"SPR1039","Jewish Peoples Philharmonic Chorus","Ensemble/Artist (musical)","Commissioned"
"SPR104","America Israel","-","Record Label"
"SPR1040","Jewish Record Club","-","Record Label"
"SPR1041","Jewish Students Bund","-","Record Label"
"SPR1042","Jewish Theologial Seminary","-","Record Label"
"SPR1043","Jewish Theological Seminary","Educational Institution (Jewish)","Commissioned"
"SPR1044","Jewish Theological Seminary","Religious Organization (Jewish)","Commissioned"
"SPR1045","Jewish Theological Seminary, Hebrew Union College","Educational Institution (Jewish)","Commissioned"
"SPR1046","Jewish Theological Seminary, Hebrew Union College, Neil W. Levin (artistic director)","Consortium","Commissioned"
"SPR1047","Jewish Women's Congress","Cultural Organization/Individual (Jewish)","Commissioned"
"SPR1048","JHJ","-","Record Label"
"SPR1049","Jibneh-Verlag","-","Publisher"
"SPR105","America-Israel Cultural Foundation","Cultural Organization/Individual (Jewish)","Commissioned"
"SPR1050","Jimmie Skinner Music","-","Record Label"
"SPR1051","Jimmy Jones Recording Studios","-","Record Label"
"SPR1052","JMG","-","Record Label"
"SPR1053","JMS","-","Record Label"
"SPR1054","Jo Amar","-","Record Label"
"SPR1055","JoeNeil Music Co.","-","Publisher"
"SPR1056","Joker Production","-","Record Label"
"SPR1057","Jonathan Davis","-","Record Label"
"SPR1058","Joods Nationaal Fonds","-","Record Label"
"SPR1059","Joris von Beek","-","Publisher"
"SPR106","American Ballet Theatre","Ensemble/Artist (non-musical)","Commissioned"
"SPR1060","Jos A. Katz.","-","Publisher"
"SPR1061","Jos. P. Katz","-","Publisher"
"SPR1062","Jos. P. Katz (agent) for J. Malek","-","Publisher"
"SPR1063","Joseph Feldman","-","Publisher"
"SPR1064","Joseph M. Rumshinsky","-","Publisher"
"SPR1065","Joseph P. Katz","-","Publisher"
"SPR1066","Joseph P. Katz.","-","Publisher"
"SPR1067","Joseph P.Katz","-","Publisher"
"SPR1068","Joseph Rumshinsky & Harry Levin","-","Publisher"
"SPR1069","Josephy P. Katz","-","Publisher"
"SPR107","American Committee","-","Record Label"
"SPR1070","Joshua Nelson Publishing","-","Record Label"
"SPR1071","Josph Leonard","-","Record Label"
"SPR1072","JPPCSNY","-","Record Label"
"SPR1073","JRF","-","Record Label"
"SPR1074","JRT Records","-","Record Label"
"SPR1075","JSA","-","Record Label"
"SPR1076","JSSA Production","-","Record Label"
"SPR1077","JTS Lehrhaus","-","Record Label"
"SPR1078","Jubilee","-","Record Label"
"SPR1079","Judaica","-","Record Label"
"SPR108","American Company","-","Record Label"
"SPR1080","Judaica Arts","-","Record Label"
"SPR1081","Judische Kulturbund","Cultural Organization/Individual (Jewish)","Commissioned"
"SPR1082","Judy Caplan Ginsburgh","-","Record Label"
"SPR1083","Judy Chemack Production","-","Record Label"
"SPR1084","Jugoton","-","Record Label"
"SPR1085","Jumbo-Record","-","Record Label"
"SPR1086","Juniper Studios, Dowring Studiios","-","Record Label"
"SPR1087","Juqoton","-","Record Label"
"SPR1088","Justice Records","-","Record Label"
"SPR1089","JVC","-","Record Label"
"SPR109","American Gathering","-","Record Label"
"SPR1090","JWB","-","Record Label"
"SPR1091","K & R","-","Record Label"
"SPR1092","Kabbalah","-","Record Label"
"SPR1093","Kalever Yeshiva","-","Record Label"
"SPR1094","Kaliphone","-","Record Label"
"SPR1095","Kane. Light, Gladney Inc.","-","Record Label"
"SPR1096","Kannekt Records","-","Record Label"
"SPR1097","Kapp","-","Record Label"
"SPR1098","Kaspro Production","-","Record Label"
"SPR1099","Katzenelenbogen & Rabinowitz","-","Publisher"
"SPR11","[Russian]","-","Record Label"
"SPR110","American Guild of Organists","Cultural Organization/Individual (non-Jewish/secular)","Commissioned"
"SPR1100","Kay Records","-","Record Label"
"SPR1101","KBK Custom Records","-","Record Label"
"SPR1102","Kedlen Records","-","Record Label"
"SPR1103","Kee-tov Prods.","-","Record Label"
"SPR1104","Kehilat Israel","-","Record Label"
"SPR1105","Kehot Publication","-","Record Label"
"SPR1106","Kelit International","-","Record Label"
"SPR1107","Kelit-Aurora","-","Record Label"
"SPR1108","Kenny Karen Music Corp.","-","Record Label"
"SPR1109","Keren & Shai Winstock","-","Record Label"
"SPR111","American Israel Expo","-","Record Label"
"SPR1110","Keren Eretz Israel","-","Record Label"
"SPR1111","Kesher Productions","-","Record Label"
"SPR1112","Ketzev","-","Record Label"
"SPR1113","Keynote","-","Record Label"
"SPR1114","Kid Stuff Records & Tapes","-","Record Label"
"SPR1115","Kiddush Records","-","Record Label"
"SPR1116","Kids Tunes","-","Record Label"
"SPR1117","Kinder","-","Record Label"
"SPR1118","Kinder Velt","-","Record Label"
"SPR1119","Kinder-Lebn","-","Record Label"
"SPR112","American Jewish Tercentenary Committee","Cultural Organization/Individual (Jewish)","Commissioned"
"SPR1120","King Records Inc.","-","Record Label"
"SPR1121","King Saul Records","-","Record Label"
"SPR1122","Kingsborough Community College (Brooklyn)","Educational Institution (non-Jewish/secular)","Commissioned"
"SPR1123","Kingsley Sound Inc. & Norman J. Simon Music Co.","-","Record Label"
"SPR1124","Kinneret Records","-","Record Label"
"SPR1125","Kinor Records","-","Record Label"
"SPR1126","Kismet","-","Record Label"
"SPR1127","Kit Productions","-","Record Label"
"SPR1128","Klezmer Music LTD","-","Record Label"
"SPR1129","Kleztone","-","Record Label"
"SPR113","American League of Composers","Cultural Organization/Individual (non-Jewish/secular)","Commissioned"
"SPR1130","KM Records","-","Record Label"
"SPR1131","KNL Records","-","Record Label"
"SPR1132","Koch Records","-","Record Label"
"SPR1133","Kohliner","-","Record Label"
"SPR1134","Kol Amar","-","Record Label"
"SPR1135","Kol B'seder","-","Record Label"
"SPR1136","Kol Israel-Israel Broadcasting Authority","-","Record Label"
"SPR1137","Kol Simcha","-","Record Label"
"SPR1138","Kol Yisrael Radio","-","Record Label"
"SPR1139","Kol Yisroel Productions","-","Record Label"
"SPR114","American Musicological Society","-","Publisher"
"SPR1140","Kol Zion","-","Record Label"
"SPR1141","Kolee Records","-","Record Label"
"SPR1142","Koleet Productions","-","Record Label"
"SPR1143","Kolinor","-","Record Label"
"SPR1144","Koliphone","-","Record Label"
"SPR1145","Kollel of Greater Boston","-","Record Label"
"SPR1146","Kolton","-","Record Label"
"SPR1147","Kosher","-","Record Label"
"SPR1148","Kosher Records","-","Record Label"
"SPR1149","Krevat Audio Productions","-","Record Label"
"SPR115","American Symphony Orchestra","Ensemble/Artist (musical)","Commissioned"
"SPR1150","Krywanoga Productions","-","Record Label"
"SPR1151","Ktav","-","Record Label"
"SPR1152","Ktav Records","-","Record Label"
"SPR1153","Kuenstlertreff","-","Record Label"
"SPR1154","L. Kalmus","-","Publisher"
"SPR1155","L.I.L.","-","Record Label"
"SPR1156","L'Chaim","-","Record Label"
"SPR1157","L&L","-","Record Label"
"SPR1158","La Car Records","-","Record Label"
"SPR1159","La Voce Del Padrone","-","Record Label"
"SPR116","American Zionist Council","-","Record Label"
"SPR1160","La-Noar","-","Record Label"
"SPR1161","La-Noar Records","-","Record Label"
"SPR1162","Labeleh","-","Record Label"
"SPR1163","Laff","-","Record Label"
"SPR1164","Lahit Production","-","Record Label"
"SPR1165","Lambert","-","Record Label"
"SPR1166","Lanitunes Music","-","Record Label"
"SPR1167","Larchmont Temple","-","Record Label"
"SPR1168","Larrabee-Records","-","Record Label"
"SPR1169","LaserLight","-","Record Label"
"SPR117","AMI Record Corp.","-","Record Label"
"SPR1170","Laurel Record","-","Record Label"
"SPR1171","Laurie","-","Record Label"
"SPR1172","Lavere","-","Record Label"
"SPR1173","LCS Publications","-","Record Label"
"SPR1174","Le Chante Du Monde","-","Record Label"
"SPR1175","Le Jazz","-","Record Label"
"SPR1176","Legacy","-","Record Label"
"SPR1177","Legend","-","Record Label"
"SPR1178","Lego","-","Record Label"
"SPR1179","Leisure Time Records","-","Record Label"
"SPR118","Amiga","-","Record Label"
"SPR1180","Lemonstone Records","-","Record Label"
"SPR1181","Lemple B'rith Kodesh","-","Record Label"
"SPR1182","Leo the lion records","-","Record Label"
"SPR1183","Leonarda","-","Record Label"
"SPR1184","Les Treteaux","-","Record Label"
"SPR1185","Levy's Sound Studio","-","Record Label"
"SPR1186","Liberty Music Shop","-","Record Label"
"SPR1187","Liberty Theater Co.","-","Publisher"
"SPR1188","Liberty Theatre Co.","-","Publisher"
"SPR1189","Library of Congress","-","Record Label"
"SPR119","AMIM Records","-","Record Label"
"SPR1190","Life Communications, Inc.","-","Record Label"
"SPR1191","Lifesong","-","Record Label"
"SPR1192","Lifetime Recordings","-","Record Label"
"SPR1193","Light","-","Record Label"
"SPR1194","Linden","-","Record Label"
"SPR1195","Lion","-","Record Label"
"SPR1196","Lioness Productions","-","Record Label"
"SPR1197","Lira Record Co.","-","Record Label"
"SPR1198","Listen Studios","-","Record Label"
"SPR1199","Litratone","-","Record Label"
"SPR12","18 Top Hits","-","Record Label"
"SPR120","Amit Records","-","Record Label"
"SPR1200","Liturgia Press, Inc.","-","Publisher"
"SPR1201","Live Performance","-","Record Label"
"SPR1202","Lively Arts","-","Record Label"
"SPR1203","Living Archives LTD","-","Record Label"
"SPR1204","Living literature","-","Record Label"
"SPR1205","Living Sounds","-","Record Label"
"SPR1206","Living Story Records","-","Record Label"
"SPR1207","Living Traditions","-","Record Label"
"SPR1208","LJG Amsterdam","-","Record Label"
"SPR1209","LM Records","-","Record Label"
"SPR121","Ampex","-","Record Label"
"SPR1210","LMP Productions","-","Record Label"
"SPR1211","Londisc","-","Record Label"
"SPR1212","London","-","Record Label"
"SPR1213","London Gramaphone","-","Record Label"
"SPR1214","London International","-","Record Label"
"SPR1215","London Phase 4","-","Record Label"
"SPR1216","London Records","-","Record Label"
"SPR1217","LondonCD 153","-","Record Label"
"SPR1218","Lori Cahan-Simon","-","Record Label"
"SPR1219","Lorraine Music Company","-","Record Label"
"SPR122","Ampis Records","-","Record Label"
"SPR1220","Los Angeles College of Jewish Studies","-","Record Label"
"SPR1221","Los Angeles Master Chorale","Ensemble/Artist (musical)","Commissioned"
"SPR1222","Los Hermanos Salinas","-","Record Label"
"SPR1223","Louis Gilrod","-","Publisher"
"SPR1224","Louisville Orchestra","-","Record Label"
"SPR1225","Lowe & Brydone Printers Ltd.","-","Publisher"
"SPR1226","LP","-","Record Label"
"SPR1227","LRP Records","-","Record Label"
"SPR1228","LSS Tifton","-","Record Label"
"SPR1229","Lucy Shelton, David Jolley","Ensemble/Artist (musical)","Commissioned"
"SPR123","Amudai Shaish","-","Record Label"
"SPR1230","Luna","-","Record Label"
"SPR1231","Lyri-kol","-","Record Label"
"SPR1232","Lyric","-","Record Label"
"SPR1233","Lyric Art Recordings","-","Record Label"
"SPR1234","Lyrichord","-","Record Label"
"SPR1235","Lyron","-","Record Label"
"SPR1236","M & C Records","-","Record Label"
"SPR1237","M & J Emt Inc.","-","Record Label"
"SPR1238","M & M Productions","-","Record Label"
"SPR1239","M.  Zamist","-","Publisher"
"SPR124","AMY Records","-","Record Label"
"SPR1240","M. Eshel Sound Studios","-","Record Label"
"SPR1241","M. Karlinsky","-","Publisher"
"SPR1242","M. Kipnis","-","Publisher"
"SPR1243","M. L. Cailingold","-","Publisher"
"SPR1244","M. Witmark & Sons","-","Publisher"
"SPR1245","M. Zamist","-","Publisher"
"SPR1246","M.A. Productions","-","Record Label"
"SPR1247","M.C.Productions Co.","-","Record Label"
"SPR1248","M.Eskayo&S.Shai","-","Record Label"
"SPR1249","M.K. Productions","-","Record Label"
"SPR125","Andrea Records","-","Record Label"
"SPR1250","M.N. Publication Fund","-","Record Label"
"SPR1251","M&I Recording Studio","-","Record Label"
"SPR1252","M&M Enterprises","-","Record Label"
"SPR1253","Maariv","-","Record Label"
"SPR1254","MacDowell Colony","Cultural Organization/Individual (non-Jewish/secular)","Commissioned"
"SPR1255","Mace","-","Record Label"
"SPR1256","Madacy","-","Record Label"
"SPR1257","Madison","-","Record Label"
"SPR1258","Mag-Concerts and Arts","-","Record Label"
"SPR1259","Magnatone Records","-","Record Label"
"SPR126","Angel Records","-","Record Label"
"SPR1260","Magnetic","-","Record Label"
"SPR1261","Main Stream - Red Lion","-","Record Label"
"SPR1262","Mainstream Records","-","Record Label"
"SPR1263","Majestic","-","Record Label"
"SPR1264","Major Minor Records","-","Record Label"
"SPR1265","Major Records","-","Record Label"
"SPR1266","Maju Music","-","Record Label"
"SPR1267","Makolit","-","Record Label"
"SPR1268","Makolit/Olympic Records","-","Record Label"
"SPR1269","Maloh Recording Co.","-","Record Label"
"SPR127","Ann Arbor Hadassah","-","Record Label"
"SPR1270","Mama-loshn Music","-","Record Label"
"SPR1271","Mandragora","-","Record Label"
"SPR1272","Manor","-","Record Label"
"SPR1273","Maple Leaf","-","Record Label"
"SPR1274","Maranatha!","-","Record Label"
"SPR1275","Marchelene Recording Co.","-","Record Label"
"SPR1276","Margot Records","-","Record Label"
"SPR1277","Marilyn Michaels","-","Record Label"
"SPR1278","Marion Recording Studios","-","Record Label"
"SPR1279","Maris Record Co.","-","Record Label"
"SPR128","Another Blue and White Recording","-","Record Label"
"SPR1280","Mark","-","Record Label"
"SPR1281","Mark 56 Records","-","Record Label"
"SPR1282","Markolit","-","Record Label"
"SPR1283","Marks Music Corporation","-","Publisher"
"SPR1284","Marlboro Records","-","Record Label"
"SPR1285","Marolit","-","Record Label"
"SPR1286","Marquis","-","Record Label"
"SPR1287","Martha Graham/Louisville Philharmonic Society","Ensemble/Artist (non-musical)","Commissioned"
"SPR1288","Mary Flagler Cary Trust","Cultural Organization/Individual (non-Jewish/secular)","Commissioned"
"SPR1289","Mary Melody","-","Record Label"
"SPR129","Anshe Emet Synagogue","-","Record Label"
"SPR1290","Masada","-","Record Label"
"SPR1291","Master","-","Record Label"
"SPR1292","Masterdisc","-","Record Label"
"SPR1293","Masterseal","-","Record Label"
"SPR1294","Mastertone Studios","-","Record Label"
"SPR1295","Maurice Schwartz’s Yiddish Art Theater","Ensemble/Artist (non-musical)","Commissioned"
"SPR1296","Max Leibowitz Orchestra","-","Publisher"
"SPR1297","Maxemilian Productions","-","Record Label"
"SPR1298","May Music, ltd","-","Record Label"
"SPR1299","Mayesh","-","Record Label"
"SPR13","20th Century Ballen Record Co.","-","Record Label"
"SPR130","Antar","-","Record Label"
"SPR1300","Mazel","-","Record Label"
"SPR1301","Mazel-tov","-","Record Label"
"SPR1302","MB Miller-Brody","-","Record Label"
"SPR1303","MBD Music Inc.","-","Record Label"
"SPR1304","MBL Enterprises","-","Record Label"
"SPR1305","MCA Music","-","Publisher"
"SPR1306","MCA Records","-","Record Label"
"SPR1307","MCB","-","Record Label"
"SPR1308","MCM","-","Record Label"
"SPR1309","MD Productions","-","Record Label"
"SPR131","AO Records","-","Record Label"
"SPR1310","Media Judaica","-","Record Label"
"SPR1311","Meet the Composer–Reader’s Digest","Cultural Organization/Individual (non-Jewish/secular)","Commissioned"
"SPR1312","Meir Eshel Sound Studios","-","Record Label"
"SPR1313","Meir Levy","-","Record Label"
"SPR1314","Meir Noy Collection (Unpublished)","-","Publisher"
"SPR1315","Melamed Recordings","-","Record Label"
"SPR1316","Melodiya","-","Record Label"
"SPR1317","Melody Trails, Inc","-","Publisher"
"SPR1318","Melotone","-","Record Label"
"SPR1319","Meloydia","-","Record Label"
"SPR132","Apollo","-","Record Label"
"SPR1320","Melton Arts","-","Record Label"
"SPR1321","Menorah","-","Record Label"
"SPR1322","Menorah and Torah Umesorah","-","Record Label"
"SPR1323","Mentor Records","-","Record Label"
"SPR1324","Merchav Records","-","Record Label"
"SPR1325","Mercury","-","Record Label"
"SPR1326","Mercury Publications","-","Record Label"
"SPR1327","Mere","-","Record Label"
"SPR1328","Merel Bros. Recording Studio","-","Record Label"
"SPR1329","Merkin Concert Hall","Cultural Organization/Individual (non-Jewish/secular)","Commissioned"
"SPR133","Apollo Records","-","Record Label"
"SPR1330","MES/7071","-","Record Label"
"SPR1331","Messengers Orchestra Records","-","Record Label"
"SPR1332","Messianic Records","-","Record Label"
"SPR1333","MET","-","Record Label"
"SPR1334","Metro","-","Record Label"
"SPR1335","Metro Music","-","Publisher"
"SPR1336","Metro Music Co","-","Publisher"
"SPR1337","Metro Music Co"
Metro Music Co","-","Publisher"
"SPR1338","Metro Music Co.","-","Publisher"
"SPR1339","Metro Music Co. (Irene Tauber)","-","Publisher"
"SPR134","Applause Records","-","Record Label"
"SPR1340","Metro Music Co.,","-","Publisher"
"SPR1341","Metro Music Co.(Hensley Music Co.)","-","Publisher"
"SPR1342","Metro Music Co.(Trio Press).","-","Publisher"
"SPR1343","Metro Music Co./Hensley Music Co.","-","Publisher"
"SPR1344","Metro Music Company","-","Publisher"
"SPR1345","Metro Music,","-","Publisher"
"SPR1346","Metro Music, Co","-","Publisher"
"SPR1347","Metro Records","-","Record Label"
"SPR1348","Metropolitan","-","Record Label"
"SPR1349","Metropolitan Synagogue (New York)","Synagogue","Commissioned"
"SPR135","April Music Ltd","-","Publisher"
"SPR1350","Metropolitan Synagogue Records","-","Record Label"
"SPR1351","Mew","-","Record Label"
"SPR1352","Meyer Weisgal-Zionist Organization of America (ZOA)","Cultural Organization/Individual (Jewish)","Commissioned"
"SPR1353","Meysheerey HaMerred","-","Record Label"
"SPR1354","Mezhdunarodnaya Kniga","-","Record Label"
"SPR1355","MGM","-","Record Label"
"SPR1356","MGM (Hed-Arzi)","-","Record Label"
"SPR1357","MGM-Lion","-","Record Label"
"SPR1358","MHL","-","Record Label"
"SPR1359","Mica Productions","-","Record Label"
"SPR136","Arabesque Recording","-","Record Label"
"SPR1360","Michael Allen production","-","Record Label"
"SPR1361","Michaels Records","-","Record Label"
"SPR1362","Mico","-","Record Label"
"SPR1363","Midbar Records","-","Record Label"
"SPR1364","Midresh","-","Record Label"
"SPR1365","Midwest Recording","-","Record Label"
"SPR1366","MIH Records","-","Record Label"
"SPR1367","Miki Peled-Solan","-","Record Label"
"SPR1368","Milk and Honey Music Productions","-","Record Label"
"SPR1369","Milk and Honey Productions, Inc.","-","Record Label"
"SPR137","ARAVA","-","Record Label"
"SPR1370","Milken Archive","Cultural Organization/Individual (Jewish)","Commissioned"
"SPR1371","Milken Archive","Educational Institution (Jewish)","Commissioned"
"SPR1372","Miller Brewing Co.","-","Record Label"
"SPR1373","Mills Music","-","Record Label"
"SPR1374","Mills Music Inc","-","Publisher"
"SPR1375","Mills Music Inc.","-","Publisher"
"SPR1376","Mills Music, Inc","-","Publisher"
"SPR1377","Mills Music, Inc.","-","Publisher"
"SPR1378","Miltone","-","Record Label"
"SPR1379","Minedco","-","Record Label"
"SPR138","Aravel/ AB&B","-","Record Label"
"SPR1380","Minyan Records","-","Record Label"
"SPR1381","Mireska Records","-","Record Label"
"SPR1382","Miriam dfaniels Production","-","Record Label"
"SPR1383","Mirror Image","-","Record Label"
"SPR1384","Miss Jackie","-","Record Label"
"SPR1385","Mitzvah Records","-","Record Label"
"SPR1386","Mixed Music","-","Record Label"
"SPR1387","Mizrachi Women's Organization of Americaq","-","Record Label"
"SPR1388","MJC Music Co","-","Record Label"
"SPR1389","MK Productions","-","Record Label"
"SPR139","Arbeter Ring","-","Record Label"
"SPR1390","MLO Records","-","Record Label"
"SPR1391","MMG","-","Record Label"
"SPR1392","MMSS","-","Record Label"
"SPR1393","MneMosyne Records","-","Record Label"
"SPR1394","Mode","-","Record Label"
"SPR1395","MODE seri","-","Record Label"
"SPR1396","Mofaei orzl","-","Record Label"
"SPR1397","MOHIR","-","Record Label"
"SPR1398","Mojoli","-","Record Label"
"SPR1399","Momo","-","Record Label"
"SPR14","20th Century-Fox","-","Record Label"
"SPR140","Arbeter Ring Khor (Workmen’s Circle Chorus) in New York","Ensemble/Artist (musical)","Commissioned"
"SPR1400","Monarch","-","Record Label"
"SPR1401","Monarch, Victor","-","Record Label"
"SPR1402","Monitor","-","Record Label"
"SPR1403","Monitor Balkanton Records","-","Record Label"
"SPR1404","Monitor International Records","-","Record Label"
"SPR1405","Monitor Recordings, Inc.","-","Record Label"
"SPR1406","Monogram","-","Record Label"
"SPR1407","Monument","-","Record Label"
"SPR1408","Mood Music Co.","-","Publisher"
"SPR1409","Mor","-","Record Label"
"SPR141","Arbors Records","-","Record Label"
"SPR1410","Moraine Production","-","Record Label"
"SPR1411","Mordecai Yardeini","-","Publisher"
"SPR1412","Moros","-","Record Label"
"SPR1413","Morris Music Publishing","-","Record Label"
"SPR1414","Mosdos Modzitz","-","Record Label"
"SPR1415","Moshe EskayoI","-","Record Label"
"SPR1416","Moss Music Group","-","Record Label"
"SPR1417","Mount Moriah Music","-","Record Label"
"SPR1418","Multisonic-Praha","-","Record Label"
"SPR1419","Murmil Associates","-","Record Label"
"SPR142","ARC Music","-","Record Label"
"SPR1420","Murray H. Glickman","-","Publisher"
"SPR1421","Murray Hill Records","-","Record Label"
"SPR1422","Musart","-","Record Label"
"SPR1423","Music for all Occasions","-","Record Label"
"SPR1424","Music Lab","-","Record Label"
"SPR1425","Music Library","-","Record Label"
"SPR1426","Music Masters","-","Record Label"
"SPR1427","Music Minus One Production","-","Record Label"
"SPR1428","Music of Congreation Shearith Israel","-","Record Label"
"SPR1429","Musica Judaica Recordings","-","Record Label"
"SPR143","Arcam Music","-","Record Label"
"SPR1430","Musica Sacra","-","Record Label"
"SPR1431","Musical EdVentures Records","-","Record Label"
"SPR1432","Musical Heritage Society","-","Record Label"
"SPR1433","Musical Sound Books","-","Record Label"
"SPR1434","Musicians Emergency Fund","-","Record Label"
"SPR1435","Musicor: Talmadge Productions","-","Record Label"
"SPR1436","Musicraft","-","Record Label"
"SPR1437","Musicraft Records","-","Record Label"
"SPR1438","Musikverlag ""Hatikwah""","-","Publisher"
"SPR1439","Musique Internationale","-","Record Label"
"SPR144","Arch Street Theatre Co.","-","Publisher"
"SPR1440","Muvchar Record Co.","-","Record Label"
"SPR1441","Muza Polskie Nagrania","-","Record Label"
"SPR1442","Mydas Music Company","-","Record Label"
"SPR1443","N.C.B.","-","Record Label"
"SPR1444","N.Miami Performing Art Theater","-","Record Label"
"SPR1445","N'Ginah Publishing Co., Inc","-","Publisher"
"SPR1446","Nachas","-","Record Label"
"SPR1447","NAMA","-","Record Label"
"SPR1448","Naomi","-","Record Label"
"SPR1449","Naomi Teplow","-","Record Label"
"SPR145","Archeophone","-","Record Label"
"SPR1450","Naomi's Chevreh","-","Record Label"
"SPR1451","Narragansett","-","Record Label"
"SPR1452","Nassau Recording","-","Record Label"
"SPR1453","Nat Assoc Heb Day Schools","-","Record Label"
"SPR1454","Nathaniel Shilkret","Ensemble/Artist (musical)","Commissioned"
"SPR1455","National Endowment Consortium Commission Grant","Government Arts Agency","Commissioned"
"SPR1456","National Federation of Temple Youth","-","Record Label"
"SPR1457","National Federation of Temple Youth","Religious Organization (Jewish)","Commissioned"
"SPR1458","National Foundation for the Arts","Government Arts Agency","Commissioned"
"SPR1459","National Jewish Welfare Board","-","Record Label"
"SPR146","Archer Record Pressing Co.","-","Record Label"
"SPR1460","National Recording Corporation","-","Record Label"
"SPR1461","National Records","-","Record Label"
"SPR1462","National Symphony Orchestra","Ensemble/Artist (musical)","Commissioned"
"SPR1463","National Theatre","-","Publisher"
"SPR1464","National Women's League; United Synagogue of America","-","Record Label"
"SPR1465","Naxos","-","Record Label"
"SPR1466","NBC","-","Record Label"
"SPR1467","NCJCA","-","Record Label"
"SPR1468","NCSY","-","Record Label"
"SPR1469","NEEC","-","Record Label"
"SPR147","Archiv Produktion","-","Record Label"
"SPR1470","Neerich Records","-","Record Label"
"SPR1471","Nefesh","-","Record Label"
"SPR1472","Neginah","-","Record Label"
"SPR1473","Neham Music Recordings","-","Record Label"
"SPR1474","Ner Mitzva Co.","-","Record Label"
"SPR1475","Nerich Records","-","Record Label"
"SPR1476","Neshoma Orchestra","-","Record Label"
"SPR1477","Ness Music","-","Record Label"
"SPR1478","Nevofoon","-","Record Label"
"SPR1479","New Records","-","Record Label"
"SPR148","Archives Limited Editions","-","Record Label"
"SPR1480","New Sound 2000","-","Record Label"
"SPR1481","New Sounds Productions","-","Record Label"
"SPR1482","New Tradition","-","Record Label"
"SPR1483","New York City Opera, Ford Foundation Grant","Cultural Organization/Individual (non-Jewish/secular)","Commissioned"
"SPR1484","New York Concert Singers","Ensemble/Artist (musical)","Commissioned"
"SPR1485","New York Philharmonic Ensembles (Bassoonists)","Ensemble/Artist (musical)","Commissioned"
"SPR1486","New York’s Episcopal Cathedral of Saint John the Divine,  the American Friends of the Anne Frank Center, and the International Center for Holocaust Studies of the Anti-Defamation League of B’nai Brith","Consortium","Commissioned"
"SPR1487","Newbery Award Records","-","Record Label"
"SPR1488","Newfound Music Production","-","Record Label"
"SPR1489","Newman","-","Record Label"
"SPR149","Arfa Records","-","Record Label"
"SPR1490","Newport Classic, Ltd.","-","Record Label"
"SPR1491","Nexus","-","Record Label"
"SPR1492","NFTY","-","Record Label"
"SPR1493","Niagra","-","Record Label"
"SPR1494","Nichoach","-","Record Label"
"SPR1495","Nico","-","Record Label"
"SPR1496","Nidjei-Israel","-","Record Label"
"SPR1497","Niggun","-","Record Label"
"SPR1498","Night Music","-","Record Label"
"SPR1499","Nimbus","-","Record Label"
"SPR15","39th Street Music NY,NY","-","Record Label"
"SPR150","Argo Record Co.","-","Record Label"
"SPR1500","Nippon Columbia Co., Ltd","-","Record Label"
