"title","titleID","genre","hebrewTitle","subject","org","transliteration","music","notes","translations"
"Ocean Sands (Keshehayinu Yeladim)","T3514","","","","","","","",""
"Ocho Kandelikas","T207","Holiday/Khanike/Ladino","","Candles/Food/Honey","Alb J-012(a)/Alb S-104(a)","Ephemera 918","","Eight Candles","Alb J-012(a)/Alb W-002(a)/Alb J-012(a)/Ephemera 918"
"Od Avinu Khay","T3739","Religious/Zionist/Faith","עוֹד אבינוּ חי","People/Survival/Hope/Forebearers","HAL 16/Alb B-032(a)","HAL 16/ Alb B-032(a)","","Our fathers still live. The people of Israel Live","HAL 16/Alb B-032(a)"
"Od Bayom Ani Kholemet (Heb)","T8389","","","","","","","",""
"Od Lo Ahavti Dai (Instr)","T3741","","","","","","","",""
"Od Lo Akhalnu (Heb)","T9802","","","","","","","",""
"Od Lo Avda Tikvoteynu (Heb)","T3742","","עוד לא אבדה תקוותנו (עבֿרית)","","","","","",""
"Od Shana","T3743","","עוד שנה","","","","","",""
"Od Yavo Hayom (Heb)","T3744","","","","","","","",""
"Od Yavo Hashabat","T3745","","עוד יבוא השבּתּ","","","","","",""
"Od Yishoma (Medley)","T3748","","עוֹד ישמע (ירמיה לג)","","Ephemera 1410","Ephemera 1410","","",""
"Od Yishoma","T3747","Psalms/Biblical/Religious","עוֹד ישמע","Jerusalem/Bride/Groom/Rejoicing","HAL 6/Pasternak CH/Alb C-003(j)Alb C-001(f)/Alb C-001(g)/Alb E-018(b)/Eph 1410","HAL 6/Alb C-001(g)/Alb E-018(b)/Alb W-021(d)/Ephemera 1410","","","HAL 6/Pasternak CH 153/Alb C-003(j)/Alb C-001(f)/Alb C-001(g)/Alb W-021(d)"
"Od Yishoma (Carlibach)","T3746","Psalms/Biblical/Religious","עוֹד ישמע (קרליבּך)","Jerusalem/Bride/Groom/Rejoicing","HAL 6/Pasternak CH/Alb C-003(j)Alb C-001(f)/Alb C-001(g)/Alb E-018(b)/Eph 1410","HAL 6/Alb C-001(g)/Alb E-018(b)/Ephemera 1410","HAL 6","","HAL 6/Pasternak CH 153/Alb C-003(j)/Alb C-001(f)/Alb C-001(g)"
"Oda Le'eyli (Glory To God, Heb)","T4083","","","","","","","",""
"Ode To Babel","T11720","Instrumental/Klezmer","","","","","","",""
"Ode To Karl Marx (Eng)","T9392","","","","","","","",""
"Odeh Hashem (Psalm 111:01)","T4084","","אוֹדה השם (תּהלים קיא)","","","","","",""
"Odeh L'eyli (I Thank My God, Heb)","T4085","","אודה לאלי","","","","","",""
"Odeh Lekol (Heb, Yid)","T9008","","אודה לקל (עבֿרית, ייִדיש)","","","","","",""
"Odekha Ba'amim (Heb)","T4086","","אוֹדך בּעמים (עבֿרית)","","","","","",""
"Odcha Ki Anitani","T8408","Psalm/Biblical","אוֹדך כּי עניתני","Psalm 118:21-24/Thanks/Praise/Answer/Rejection/Cornerstone","Alb Z-013(a)/Alb B-033(g)/Pasternak CH 149","Pasternak CH 93","","","Alb Z-013(a)/Alb B-033(g)/Pasternak CH 149"
"Odes (Sheyne Meydlekh Hobn...)","T11650","","אָדעס (שײנע מײדעלעך האָבן מיאסע...)","","","","","",""
"And The Priest And The People...","T21637","","","","","","","",""
"Odessa (Instr)","T4092","","אָדעסאַ","","","","","",""
"Odessa Bulgar","T4093","Klezmer/Instrumental/Bulgar","אָדעסאַ בולגאַר","","","","","See ""Odesa Bulgar""",""
"Odessa Bulgars (Medly)","T10865","","אָדעסע בולגאַרס","","","","","",""
"Odessa Mame (Burstein)","T4090","Theater/Memory/Place","אָדעסאַ מאַמע (בורסטיין )","Odessa/Moldovanke/Courting/Youth/Thieves","","CD K-029(g)/ Folder 111.03","","Also have German translation in 111.03","CD K-029(g)"
"Odessa Mame (Secunda)","T4095","Theater/Memory/Place","אָדעסאַ מאַמע  (סעקונדאַ)","Odessa/Food/Beauty/","","Alb L-002(a)","","","Alb L-002(a)"
"Odessa Odessa","T8473","Pop/Memory/Place","אָדעסאַ אָדעסאַ","Youth/Sailor/Veteran/Imprisonment/Emigration","","","","",""
"Odessa Sher (Papirosn, Instr)","T4096","","אָדעסע שער (פּאַפּיראַסן, אינסטר)","","","","","",""
"A Freylekhe Khasene","T17426","","אַ פֿרײלעכע חתונה","","","","","",""
"And The Youth Shall See Visions","T10780","","","","","","","",""
"Odesser Bulgar Tants","T8373","Klezmer/Instrumental/Dance/Bulgar","אָדסער בולגאַר טאַנץ","","","","","",""
"Odessa Swing (Instr)","T12139","","","","","","","",""
"Odesskaya Panama (Russian)","T11802","","","","","","","",""
"Odcho","T22857","","אודך","","","","","See ""Odekha Ki Anitani""",""
"Odo (Yid, Heb)","T4097","","אודה (ייִדיש, עבֿרית)","","","","","",""
"Odom Doyg (Heb)","T4098","","","","","","","",""
"Odom Horishons Nign (Instr)","T4100","","אדם הרישונס ניגון (אינסטר)","","","","","",""
"Odom Yesado Meafor","T4101","Cantorial/Religious","אדם יסודו מעפר","Origins/Destiny/Dust/Life/Aging/Death/Dream","","Alb L-004(a)","","Man's Origin Is From Dust","Alb M-047(e)"
"Oedon Partos, Yiskor (In Memoriam)","T4102","","","","","","","",""
"And Though He May Tarry (Narrat.)","T11646","","","","","","","",""
"Of Certain Grandfathers (Eng)","T4103","","","","","","","",""
"Off To The Races (Eng)","T4104","","","","","","","",""
"Official Notice (Eng)","T4105","","","","","","","",""
"Ofgang Fun A Nayer Tkufe","T4106","","אָפֿגאַנג פֿון אַ נײער תּקופֿה","","","","","",""
"Ogil Vesemakh","T10595","Religious/Children","אגיל ואשׂמח","Holiday/Simkhas Torah","Bugatch 240","Bugatch 240","Bugatch 240","",""
"Ogil Vesemakh (Wolhberg)","T4108","Religious/Chorale","אגיל ואשׂמח (וואָלבערג)","Elijah/Shabos","Bugatch 240","Bugatch 240","Bugatch 240","",""
"Ogoniok (Russian)","T8513","","","","","","","",""
"Ogonki Daliokie (Russian)","T7573","","","","","","","",""
"Oh Guitare Guitare (French)","T4111","","","","","","","",""
"Oh Heart (Russian, Serdtse)","T11834","","","","","","","",""
"Anda Jaleo (Spanish)","T21638","","","","","","","",""
"Oh How Good (Heb)","T8076","","הו כּמה טוב (עבֿרית)","","","","","",""
"Oh Is There Not One Maiden Breast","T4112","","געפֿינט זיך ניט פֿון אײַך נאָר אײַן","","","","","",""
"Oh Leave Me Not To Pine (Yid)","T4113","","אך עלנט װי אַ שטײן","","","","","",""
"Oh Lord, It Is Only Thee...(Eng)","T4114","","מהי המעלה שבריקור (ענגליש)","","","","","",""
"Oh Mountain, How Tall You Are","T8256","","","","","","","",""
"Oh My Gods! (Heb)","T4115","","אלילים","","","","","",""
"Oh My Love (Eng)","T4116","","","","","","","",""
"Oh Susannah (Eng)","T4117","","","","","","","",""
"Oh The World (Eng)","T4118","","","","","","","",""
"Andemoz Al Kafe","T9270","","","","","","","",""
"Oh Woe Is Me (Eng)","T4119","","","","","","","",""
"Oh You Dark Eyes (Eti Chorney..)","T11836","","","","","","","",""
"Oh, What A Charming Thing's A...","T4120","","","","","","","",""
"Ohavey Hashem (Heb)","T4121","","אוהבי ה' (עברית)","","","","","",""
"Ohavi Hateva (Heb, Nature Lovers)","T4122","","אוהבי הטבע (עבֿרית)","","","","","",""
"Ohev Hashem (Psalm 087:02-03)","T4123","","אהב השם (תהלים פז)","","","","","",""
"Ohime (Alas, Latin)","T4124","","","","","","","",""
"Oi Pidu Ya (Der Rebe Hot...)","T10971","","דער רבּי האָט געהײסן פֿרײליך זײַן","","","","","",""
"Oi Tumani Mayi","T4125","World War II/Historical","","Resistance/Partisans/Fog'Cover","Silverman TUF 166","Alb B-007(g)","Silverman TUF 166","","Silverman TUF 166"
"Okaramba (Heb)","T4126","","אוקרמבּה","","","","","",""
"Anderleto","T21639","","","","","","","",""
"Okheyn Ato (Isaiah 45:15)","T4127","","אכן אתּה (ישעיה מה)","","","","","",""
"Okhil Yom Yom Eshtahe (Heb)","T9990","","אוחיל יום יום אשׁתאה (עבֿרית)","","","","","",""
"Okhilo Loyil (Heb)","T4128","","","","","","","",""
"Oklahoma (Boiberik)","T12609","","אָקלאַהאָמע (בױבעריק)","","","","","",""
"Olam Haba","T4130","Religious","עלום הבּא","World To Come/Torah/Study","","","","",""
"Old Black Joe (Eng)","T4131","","","","","","","",""
"Old Black Smidgick (Parody)","T3160","Novelty/Parody/Humorous/Dialect","","","","","","",""
"Old Bulgar (Instr)","T8291","","","","","","","",""
"Old Catalan Folk Song (Catalan)","T3161","","שיר קטלןמי (מושר בּקטלונית)","","","","","",""
"Old European Waltz Medley (Instr)","T3162","","אױף אַ חתונה אין בעסעראַביאַ (אינסטר)","","","","","",""
"Andonis (O Antonis, Greek)","T21640","","","","","","","",""
"Old Folks At Home (Eng)","T3163","","","","","","","",""
"Old Hanka (Eng, Di Alte Hanke)","T40841","","די אַלטע האַנקע (ענגליש)","","","","","",""
"Old Jerusalem (Psalm 134, Heb)","T9423","","תהלים קלד (עבֿרית)","","","","","",""
"Old MacDonald Had A Farm (Yid)","T3164","","אַלטער דאָנאַלד","","","","","",""
"Old Maid's Plaint (A Meydl In..)","T3165","","אַ מײדל אין די יאַרן","","","","","",""
"Old Man River (Cold Chopped Liver)","T3166","","","","","","","",""
"Old Man River (Instr)","T9410","","","","","","","",""
"Old Mother Hubbard (English)","T9584","","","","","","","",""
"Old Sher","T3168","Klezmer/Instrumental/Sher","","","","","","",""
"Old World Beat (Instr)","T3169","","","","","","","",""
"Andre Die Das Land So Sehr Nicht..","T12261","","","","","","","",""
"Older Yiddish Medley (Hester St)","T3170","","","","","","","",""
"Olek Pentak","T3171","","אָלעק פּענטאַק","","","","","",""
"Oleynu (Aleynu, Heb)","T3172","","עלינוּ (עבֿרית)","","","","","",""
"Olim","T3173","Zionist/Pioneer","עולים","Ship/Immigration/Return/","Belarsky FAV 31","Belarsky FAV 28","Belarsky FAV 26","","Belarsky FAV 26"
"Oliver Sholom Psalm","T3174","","","","","","","",""
"Olives Almonds And Raisins (Eng)","T3175","","","","","","","",""
"Olshanetsky Medley (Instr)","T10939","","אָלשאַנעצקי מעדלי (אינסטר)","","","","","",""
"Om Ani Khumo","T3176","","אום אני חומה","","","","","See ""Meyles Fun Dem Yidishn Folk""",""
"Omar Abaje (Yid)","T3177","","אמר אבּיי (ייִדיש)","","","","","",""
"Omar Eyfo Ata (Heb)","T3179","","אמור איפה אתה (עבֿרית)","","","","","",""
"Andy's Ride (Instr)","T11388","","","","","","","",""
"Omar Hashem L'Yaakov","T3180","Religious/Biblical","אמר ה' ליעקב","Faith/Fear/Promise/Protection","Pasternak CH 14/Alb S-041(g)/Alb Y-003(a)/Alb B-016(a)/","Pasternak CH 71/Alb Y-003(a)/Alb F-005(a)","","Traveling motive - ""Al Tira Avdi Yaakov"" - also ""Isaiah ""44:02""","Pasternak CH 145/Alb Y-003(a)/Alb B-016(a)/Alb F-005(a)"
"Omar Reb Meir (Yid)","T8739","","אומר רבּ מאיר (ייִדיש)","","","","","",""
"Omdos Hoyu Ragleynu","T4023","Religious/Zmiros/Chassidic","עמדוֹת היוּ רגלינוּ","Place/Jerusalem/Gates/Compact/Rebuilt/Presence","Alb W-016(a)","","","","Alb W-016(a)"
"Omrim Yeshana Erets","T9089","Literary Origin","אומרים ישנה ארץ","Paradise/Heaven/Fulfilment/Pride","Vorbei 336","","","See ""M'zogt S'iz A Land Do"" for Yiddish adaptation","Ephemera 628"
"On A Farvos","T4024","","אָן אַ פֿארװאָס","","","","","",""
"On A Moonlit Night (Eng)","T4025","","","","","","","",""
"Aneynu (Answer Us, O Lord, Heb)","T21641","","","","","","","",""
"On A Sunny Evening (Davidson)","T4026","Holocaust/Place","","Terezin/Nature/Trees/Barbed Wire/Survival/Hope","Alb B-033(a)/I Never 53/Alb D-008(d)","","","Written by the children in Barracks 318 and L 417, ages 10 - 16 years",""
"On A Sunny Evening (Glick)","T8383","Holocaust/Place","","Terezin/Nature/Trees/Barbed Wire/Survival/Hope","Alb B-033(a)/I Never 53/Alb D-008(d)","","","Written by the children in Barracks 318 and L 417, ages 10 - 16 years",""
"On A Tam Un On A Ram (Instr)","T4183","","אָן אַ טעם און אָן אַ ראַם (אינסטר)","","","","","",""
"On Account Of A Hat (Iber A Hitl)","T4184","","איבער אַ ביטל","","","","","",""
"On And On","T40842","","","World","","","","",""
"On Az","T4185","","אָן אַז","","","","","",""
"On Deribasovskaya Street (Russian)","T4187","","","","","","","",""
"On Golda (Eng)","T4188","","","","","","","",""
"On Im","T3048","Theater/Lament/Love","אָן אים","Love/Seperation","","","","",""
"On My Journey (Eng)","T3049","","","","","","","",""
"Angel Eyes","T12397","Jazz","","","","","","",""
"On Nie Werniotsia (Russian)","T7837","","","","","","","",""
"On Sabbath Day (Instr)","T9408","","","","","","","",""
"On Sunday The Rabbi Stretched Out","T3050","","","","","","","",""
"On The Hill (Russian)","T3052","","","","","","","",""
"On The Liverpool Sand (Eng)","T3053","","","","","","","",""
"On The Other Side Of The Poem-Eng","T40843","","פֿון יענער זײַט ליד (ענגליש)","","","","","",""
"On The River Bank (Russian)","T3054","","","","","","","",""
"On The Road To Belgium (Instr)","T3055","","","","","","","",""
"On The Road To Jerusalem (Eng)","T3056","","","","","","","",""
"A Freylekhe Nakht In Gan Eydn","T10868","Klezmer/Instrumental/Bulgar","אַ פֿרעלעכע נאַכט און גן-עדן","","","","","",""
"Angel's Lullaby (Instr)","T21643","","","","","","","",""
"On The Street Where You Live (Yiddish)","T3182","Theater/Novelty/Adaptation","דאָ אין געסל װױנסטו (ייִדיש)","Love","Alb M-009(b)","Alb M-009(b)","","Yiddish Version",""
"On The Tel Aviv Beach (Heb Narrat)","T3183","","על שפת הים בּתל-אביב","","","","","",""
"On The Way To Her (Russian)","T7841","","","","","","","",""
"On This Night (Eng)","T12580","","","","","","","",""
"Once In A Dream (Eng)","T3184","","","","","","","",""
"Once It Happened In Erets...(Eng)","T3185","","אגדת חוני המעגל (ענגליש)","","","","","",""
"Once My Pair Of Oksn (Eng)","T3187","","האָב איך אַ פּאָר אָקסן (ענגליש)","","","","","",""
"Once My Pair Of Oxen (Eng)","T3188","","האָב איך אַ פּאָר אָקסן (ענגליש)","","","","","",""
"Once There Was A Song Writer (Nar)","T3189","","היה מחבּר שירים בּארץ (עבֿרחת)","","","","","",""
"Once There Was A Story (Eng)","T3190","","אַ מאָל איז געװען אַ מעשׂה (ענגליש)","","","","","",""
"Angelina (Yid)","T21277","","אנג'לינה","","","","","",""
"Once Upon A Time (Eng)","T3191","","","","","","","",""
"Once We Were Slaves (Avodim..H, E)","T3307","","","","","","","",""
"Once Went On A Job (Russian)","T3308","","","","","","","",""
"One Day Rabbi Levi Yitskhak..(Eng)","T3309","","מה תעשה כּאשר יבוא המשיח (ענגליש)","","","","","",""
"One God (Eng)","T3310","","","","","","","",""
"One Little Shamos (Eng)","T3311","","","","","","","",""
"One Man Show (Eng)","T3313","","","","","","","",""
"One Meat Ball (Kadur Vasar - Heb)","T3314","","כּדור בשׂר","","","","","",""
"One People, Many Voices, Part II 1/4","T18436","","","","","","","",""
"One Simkhat Tora A Young...(Eng)","T3315","","את מי מחפשים אלה הבּאים אל הרב","","","","","",""
"Ani","T21278","","אני","","","","","",""
"One Sunday Morning (Eng)","T3316","","","","","","","",""
"One Sweet Letter From You (Eng)","T3317","","","","","","","",""
"One Sweet Song (Eng)","T3318","","","","","","","",""
"One Two Three O'leary","T3319","","","","","","","",""
"Onga (Ellis Island Band)","T3320","","אָנגאַ (עליס אײַלאַנד באָנדע)","","","","","",""
"Onga Bukaresti (Irish, Instr)","T3321","","","","","","","",""
"Onga Bukaresti-Dance Of Bucherest","T3322","","","","","","","",""
"Ongelodn Mit Al Dos Guts","T6936","","אָנגעלאָדן מיט אַל דאָס גוטס","","","","","",""
"Only Fools Are Sad (Heb)","T3324","","חעצבות רק לטפּשים חיא","","","","","",""
"Only For The Children/Ariel's Song","T3325","","","","","","","",""
"Ani Amilam (Surrounded)","T21279","","","","","","","",""
"Ono","T40844","Psalm 118:25/Biblical/Prayer","אנה","Redeem/Save/Prosper/Help","Tanakh v.2 1715","","","","Tanakh v.2 1715"
"Ono Bekhoah (Heb)","T3327","","","","","","","",""
"Ono Hashem (Heb)","T3328","","אנא השם","","","","","",""
"Ono Tovo Osshamnu (Confessional)","T3329","","","","","","","",""
"Ooga Ooga Ooga (Heb, Eng)","T10625","","","","","","","",""
"Ooter Tooter","T3331","","אוטער טוטער","","","","","",""
"Op Een Avond In Mein","T11849","","","","","","","",""
"Open Unto Me (Eng)","T12444","","","","","","","",""
"Open Unto Me (Reprise, Eng)","T12304","","","","","","","",""
"Ani Ashuv (Heb, I Will Return)","T8082","","אני אשוב (עבֿרית)","","","","","",""
"Opera At La Scala (Eng)","T11089","","","","","","","",""
"Opera Kokteyl (Parodies, Medley)","T8445","","אָפּעראַ קאָקטײל (פּאַראָדיעס, מעדלי)","","","","","",""
"Opfirn Di Mekhutonim (Instr)","T3333","","אָפּפֿירן די מחותּנים","","","","","",""
"Opfirn Di Mekhutonim In Ternovka","T3334","","אָפּפֿירן די מחותּנים אין טערנאָװקאַ","","","","","",""
"Opgelebt Shoyn Akhtsik Yor","T3335","","אָפּגעלעבט שױן אַכטציק יאָר","","","","","See ""Fun Vigele Biz In Keyver""",""
"Opshpil Far Di Mekhutonim","T3337","","אָפּשפּיל פֿאַר די מחותנים","","","","","",""
"Optimism (Heb)","T3338","","אופטימיות","","","","","",""
"Or (Light, Heb)","T3339","","אור (עבֿרית)","","","","","",""
"Or Nam (Spanish)","T3341","","","","","","","",""
"Ani Eliykum","T21280","","אני אליוקום","","","","","",""
"Or Vekhayim","T8741","","","","","","","",""
"Or VeYerusholaim (Heb, Instr)","T3342","","אור ירושׁלים (עבֿרית, אינסטר)","","","","","",""
"Or Zorua (Shneyer)","T3344","Religious/Psalm/Biblical","אור זרע (שנייער)","Righteous/Reward/Light/Gladness/Psalm 97:11","","Alb F-015(b)","","","Alb F-015(b)"
"Ora - Sirba A La Dave (Instr)","T3345","","אָראַ - סירבאַ אַ לאַ דײװ","","","","","",""
"Ora Vesimkha (Heb)","T12368","","אורה ושׂמחה (עבֿרית)","","","","","",""
"Ora's Freylekh (Instr)","T3346","","","","","","","",""
"Orana, Dr. Oswald (Eng)","T3347","","","","","","","",""
"Orekh Yamim","T8657","Biblical/Psalm","ארך ימים","Psalm 091:16/Life/Longevity/Salvation","Tanakh 2 1677/Alb C-001(g)","Alb C-001(g)","","","Tanakh 2 1677/Alb C-001(g)"
"Orem Iz Nit Gut","T3349","","","","","","","See ""Khatskele, Khatskele""",""
"Oreme Shnayderlekh","T3350","Literary Origin/Lament","אָרעמע שנײַנדערלעך","Poverty/Tailor/OccupationTroubles/Fantasy/Lottery/Tatters","Vinkov 5 121/Gebir Lemm 135/Gebir MGZ 94","Vinkov 5 121","Vinkov 5 121/Gibir MGZ 94","Poor Tailors","Vinkov 5 121/Gebir SIMC 63"
"Ani Habazelet (Heb)","T21281","","","","","","","",""
"Organ Meditation (Eng)","T8859","","","","","","","",""
"Organ Solo - Great Festive Service","T3351","","","","","","","",""
"Oriental Hora (Firn Di Mekhut...)","T3352","","","","","","","",""
"Oriental Hora (Instr)","T3353","","","","","","","",""
"Oriental Melodies (Instr)","T3354","","","","","","","",""
"Oriental Melody (Instr)","T3355","Klezmer/Wedding","","Wedding/In-Laws","","","","",""
"Orim Li Eyneykh Yafe","T9091","Love","","","","","","",""
"Oriol (Eagle, Russian)","T3356","","","","","","","",""
"Orkha Bamidbar","T3357","Israeli/Literary Origin","אוֹרחה בּמדבּר","Desert/Camel/Caravan/Wandering","Netzer 46","Bugatch 75","Netzer 46/Bugatch 75","Caravan in the Desert","Alb A-031(a)"
"Ani Hadal (Heb)","T21282","","","","","","","",""
"Orkhim Lekhag (Heb)","T10593","","אורחים לחג (עבֿרית)","","","","","",""
"Orkhim Lekhag (Holiday Guests)","T3359","","אורחים לחג (עבֿרית)","","","","","",""
"Orphan Girl In White (Latvian?)","T10269","","","","","","","",""
"Orthodox, Conservative or Reformed","T3360","Pop/Humorous","","Courting/Sectarian/Love/Observance/Indiscriminate/","","","","",""
"Ochi Chyornye","T3039","Folk/Love/Gypsy","","Love/Eyes/Lament/Romance/Passion/Sorrow","Alb B H-009(c) [Heb Version]/Alb O-007(d)/Ephemera 1266","Ephemera 1266","","","Alb O-007(d)/Ephemera 1266"
"Ortshi Tshorna (Medley)","T11837","","","","","","","",""
"Ani Kuni Leml","T21283","Theater","אני קוני למל","","","","","",""
"Orum Bin Ikh","T3040","","אָרום בין איך","","","","","",""
"Ose Shalom (Birkhat Hamazan)","T3041","","יעשׂה שלוֹם","","","","","",""
"Ose Shalom (Eng, Heb, Let There..)","T7172","","יעשׂה שלוֹם (ענגליש, עבֿרית)","","","","","",""
