"albumID","albumName","albumNameYiddish","linenote","rpm","LP_BOX","format","timeMade","languages","genre","whereProduced","comments","trackNumber","notes","fauLink","dateMade","provenance","cassette","cd"
"AP1019","Sarah Benjamin /  Lidelakh   Vol 2/ 101 Favorite Yiddish and Russian Folksongs","","","0","0","Cassette/Audio CD Copy X 51 (a)(b)","","Yiddish","Yiddish Compilation/Folk/Field Recording","Newton, MA","","0","","local","1984","Gift of Sheldon Benjamin","x",""
"AP102","Sidor Belarsky                     Chanukah Festival of Song","","","0","8","33 1/3 rpm 12""/Audio CD copy","","Yiddish/Hebrew","Chanike Songs","New York","","0","","http://faujsa.fau.edu/belarsky/belarsky_playlist.php?jsa_num=400987&queryWhere=jsa_num&queryValue=400987","","","","x"
"AP1020","Jewish Songs From Bulgaria","","","0","0","","","","","","","0","","","","","","x"
"AP1021","Folklore Yiddish D'Europe Centrale   Budapester Klezmer Band","","","0","0","","","","","","","0","","","","","","x"
"AP1022","Roslyn Barak                                 The Jewish Soul","נפש יהודי","","0","0","Audio CD","62:56:00","Hebrew/Yiddish","Liturgical/Theater/Art Song","Munich","","18","","","1966","","","x"
"AP1023","Budowitz  Mother Tongue  Music of the 19th century Klezmorim","מאַמע-לשון","","0","0","Audio CD","","","Klezmer","Bratslavia","","0","Scholarly and Informative Album Notes","","1997","Gift of Robert & Molly Freedman","","x"
"AP1024","Naftule Brandwein               King of the Klezmer Clarinet","","","0","0","","","","","","","0","","","","","","x"
"AP1025","Bar-Sela's Symphonic Band                 The Way They Dance","כּליזמר חתונה עם חנן בּר-סלע ותזמותו   כּיצד מרקדין 2","","0","0","","","","","","","0","","","","","","x"
"AP1026","Boiberiker Klezmorim","בױבעריקער קלעזמאָרים","","0","0","","","","","","","0","","","","","","x"
"AP1027","The Songs Of A People                            Harvey Bien","","","0","0","Audio CD","","","","","","0","","","","","","x"
"AP1028","Heart On The Snow                        The Balalaika Russe","","","0","0","","","","","","","0","Russian Songs - Alan Zemel is a member of this groupg","","","","","x"
"AP1029","Shpil Klezmer Shpil","","","0","0","","","","","","","0","","local","","","x",""
"AP103","Sidor Belarsky                                       Encore!","","","0","8","33 1/3 rpm 12""/Audio CD copy X159","","Yiddish","Songs of Literary Origin & Folk Songs","New York","","14","","http://faujsa.fau.edu/belarsky/belarsky_playlist.php?jsa_num=400577&queryWhere=jsa_num&queryValue=400577","","","","x"
"AP1030","Timna Brauer & Elias Meiri Ensemble        Jewish Spirituals","","","0","0","","","","","","","0","Recording Made in Stuttgart, Germany","","","","","x"
"AP1031","Jiddish Jiddish and 21 other Jewish Songs/   Estera   Renata","","","0","0","","","","","","","0","Vocals - Renata Biterman / Estera Katz","","","","","x"
"AP1032","In Love And In Struggle/Musical Legacy of..Jewish Labor Bund","אין ליבשאַפֿט און אין קאַמף די מוזיקאַלישע ירושה פֿונעם...בונד","","0","0","Audio CD","","Yiddish","Militant/Revolutionary/Antems","New York","","17","Featuring Zalmen Mlotek, Adrienne Cooper, Dan Rouse with The New -"
Yiddish Chorale and the Workmen's Circle Chorus.","local","1999","Gift of Robert and Molly Freedman","","x"
"AP1033","Shlomo Carlebach at the Village Gate","פּתחו לי שערי צדק","","0","20","","","","","","","0","","","","","",""
"AP1034","In The Palace Of The King                   Shlomo Carlebach","מקדש מלך","","0","20","","","","","","","0","","","","","",""
"AP1035","Nigun featuring Shlomo Carlebach and Others","","","0","20","","","","","","","0","Featuring Shlomo Carlebach, Paul Zimel, Voices Four, Rabbi Meyer -"
H. Laufer. Live concert celebrating 20th anniversary of the State -"
of Israel and unification of Jerusalem. June 11th, 1968","","","","",""
"AP1036","Wake Up World  12 Original Songs.. by Rabbi Shlomo Carlebach","שפכי כמים לבך","","0","20","","","Hebrew","Religious/Folk/Pop","","","11","","","","","",""
"AP1037","Song of the Golden Land                   Lectures 01 and 02","","","0","0","Cassette/Audio CD copy x590-1","","","","","","0","","","","","x","x"
"AP1038","Song of the Golden Land                   Lectures 03 and 04","","","0","0","Cassette/CD copy x588, 589","","","","","","0","","","","","x","x"
"AP1039","Song of the Golden Land                   Lectures 05 and 06","","","0","0","Cassette/CD copy x592, 593","","","","","","0","","","","","x","x"
"AP104","Sidor Belarsky in Songs by M. Gebirtig","סידאָר בעלאַרסקי אין אַ פּראָגראַם לידער פֿון מרדכי געבירטיג","","0","8","33 1/3 rpm 12""/Audio CD copy x171","","Yiddish","Mordkhe Gebirtig Songs","New York","","12","","http://faujsa.fau.edu/belarsky/belarsky_playlist.php?jsa_num=400576&queryWhere=jsa_num&queryValue=400576","","","","x"
"AP1040","Song of the Golden Land                   Lectures 07 and 08","","","0","0","Cassette/CD copy x594, 595","","","","","","0","","","","","x","x"
"AP1041","Song of the Golden Land                   Lectures 09 and 10","","","0","0","Cassette/CD copy x586, 587","","English/Yiddish","","","","0","","","","","x","x"
"AP1042","Song of the Golden Land               Lectures 11, 12 and 13","","","0","0","Cassette/CD copy x 596, 597, 598","","","","","","0","","","","","x","x"
"AP1043","Jose Griminger                       Lo Que Le Gusta A Usted","דאָס װאָס אײַך געפֿעלט","","0","46","33 1/3 rpm 12""/Audio CD copy","","","","","","0","","local","","","","x"
"AP1044","Jose Griminger                               Algo Para Reir!","","","0","46","33 1/3 rpm 12""/Audio CD copy","","","","","","0","","local","","","","x"
"AP1045","Griminger      No Te Aflijas                   Nisht Gezorgt","נישא געזאָרקט","","0","46","33 1/3 rpm 12""/Audio CD copy","","","","","","0","","local","","","","x"
"AP1046","Cantor David Propis sings Memories of Home","","","0","0","Cassette/Audio CD copy","","","Folk, concert","Houston, TX","","0","Cassette Copy Courtesy of Charley Bernhaut","local","","","x","x"
"AP1047","Don Paulin                               Songs Of Minorities","","","0","87","33 1/3 rpm 12""/Cass./Audio CD copy","","","","","","0","Recording Made in Holland","","","","x","x"
"AP1048","Mandy Patinkin                                    Mamaloshen","","","0","0","","","","","","","0","","","","","","x"
"AP1049","Prague Klezmorim  Jewish Dance Band            Yiddish Blues","","","0","0","Audio CD","54:34:00","","Instrumental","Prague, Czech","","24","Published by The Prague Jewish Community","","","Prague","","x"
"AP105","Sidor Belarsky sings Select Yiddish Songs","סידאָר בעלאַרסקי זינגט געקליבענע ייִדישע לידער","","0","8","33 1/3 rpm 12""/Audio CD copy x170","","Yiddish","Songs of Literary Origin & Folk Songs","New York","","13","","http://faujsa.fau.edu/belarsky/belarsky_playlist.php?jsa_num=401803&queryWhere=jsa_num&queryValue=401803","","","","x"
"AP1050","Songs For A Secular Celebration of Pesach","","","0","0","Audio CD Copy x397/Cassette","","Yiddish/English/Hebrew","Ritual","","","9","","local","1998","","x","x"
"AP1051","POZA/  ""Odessa""/ Jewish Music From Russia","","Cover has color photo of two musicians. Liner notes list songs -"
and short explanation of the songs with backgrounds of the -"
musicians. Liner notes by Alik Kopyt.","0","0","Audio CD","53:13:00","Yiddish/Russian","Folk/Traditional","Prague, Czech","Street Songs of Odessa, other East European Cities and Asia Minor","15","","","1995","","","x"
"AP1052","The Three Of Us/ Baila Pransky/ Sherry Greenspan/ Betta Mandel","","","0","0","Cassette/Audio CD copy x392","","Hebrew/Yiddish","Folk","Charlotte, North Carolina","See material with cassette re background of group and programs.","14","","","1969","Gift of Baila Pransky, October, 2001","x","x"
"AP1053","The Quarrel                       Music by William Goldstein","","","0","0","","","","","","","0","Music from the Original Motion Picture Soundtrack. Motion picture -"
based on a story by Khaim Grade.","","","","","x"
"AP1054","Raasche and Alan Mills sing Jewish Folk Songs","","","0","88","33 1/3 rpm 12"" /Audio CD","","Yiddish","Yiddish/Folk","New York","","20","","","1982/2007","CD Purchase Smithsonian Folkways Oct 2012","","x"
"AP1055","Raasche                          Jewish Folk Songs of Europe","","","0","88","","","","","","","0","","","","","",""
"AP1056","Art Raymond Presents","","","0","88","","","","","","","0","","","","","",""
"AP1057","The Happy Soul of a People     Harry Ringler & His Orchestra","","","0","89","33 1/3 rpm 12""/Audio CD copy x405","","","","","","14","","local","","","",""
"AP1058","Paul Robeson: Favorite Songs","","","0","89","","","","","","","0","","","","","",""
"AP1059","Chaim Eliezer Herstik Sings Great Yiddish and Hebrew Songs","שירי ציון","","0","53","33 1/3 rpm 12""/ Audio CD Copy","","","","","","0","Recording made in Canada.                                     -","local","","","","x"
"AP106","Sidor Belarsky Sings...the Hopes and Dreams of the East Side","סידאָר בעלאַרסקי - לידער לכּבֿוד 70 יאָר פֿאָרטעטס","","0","8","33 1/3 rpm 12""/Audio CD copy x173","","Yiddish","Songs of 1900 - 1920 Folk/Lit Origin/Protest","New York","","12","Liner Notes by Elizabeth P. Gordon (Chana Mlotek)","http://faujsa.fau.edu/belarsky/belarsky_playlist.php?jsa_num=402850&queryWhere=jsa_num&queryValue=402850","","","","x"
"AP1060","Shlishit Hagashash of Israel  ""Moyshe Vintelatur""","שלישית החיוור ""מוישה ונטילטור""","","0","53","","","","","","","0","Recording made in Israel. 45 rpm. Album notes entirely in Hebrew.-","","","","",""
"AP1061","Holocaust  The Story of the Family Weiss","","","0","54","33 1/3 rpm 12"", Audio CD Copy","","","","","","0","Music from the NBC-TV Film. Music Conducted and Composed by -"
Morton Gould.","local","","","","x"
"AP1062","Hanukka Songs  Dahlia Amihud with Orch and Children's Choir","שירי חנוכה  דליה עמיהוד עם תזמרות ומקהלת ילדים","","0","54","33 1/3 rpm 12"", Audio CD Copy","","","","","","0","Arranged and conducted by Josef Hadar.","local","","","","x"
"AP1063","Leibele Jinich             Canciones De Ayer, Hoy, Y Siempre","","","0","0","Cassette/ (See F-009(c)), Audio CD","","","","","","10","Cassette Copy from Charlie Bernhaut","local","","","x","x"
"AP1064","The J.C.C. Singers (Toronto, Canada) in a Musical Mosaic","","","0","59","","","","","","","0","","local","","","",""
"AP1065","Jacinta         la chason du pays d'or","דאָס ליד פֿון גאָלדענע לאַנד","","0","0","Cassette/Audio CD Copy","","Yiddish","Folk/Literary Origin/Compilation/Concert","","","14","","local","","","x","x"
"AP1066","Jacinta        Autres Chansons Yiddish (Other Yiddish Songs)","","","0","0","","","Yiddish","Folk/Literary Origin/Compilation/Concert","","","0","","","","","","x"
"AP1067","Seeing Israel With George Jessel       A Tour Through Israel","","","0","60","33 1/3 rpm 12""/ Audio CD copy","","","","","","0","","local","","","","x"
"AP1068","The REAL Complete Jewish Party Music Collection / David & The High Spirit","","","0","0","","","","","","","0","","","","","","x"
"AP1069","The Real Complete Jewish Party Collection  Volume II / David & The High Spirit","","","0","0","","","","","","","0","","","","","","x"
"AP107","Sidor Belarsky Sings A Salute To Israel's 20 Anniversary","סידאָר בעלאַרסקי  20 ישׂראל","","0","8","33 1/3 rpm 12""/Audio CD copy x172","","Hebrew","Zionist & Israeli Songs","New York","","12","Liner Notes by Avraham Soltes","http://faujsa.fau.edu/belarsky/belarsky_playlist.php?jsa_num=403261&queryWhere=jsa_num&queryValue=403261","1968","","","x"
"AP1070","Klezmer Wedding featuring Marty Levitt, Clarinet/Marty Levit, King of the Klezmers","","","0","0","Cassette/Audio CD","","","Instrumental/Klezmer","Brooklyn, NY","","0","CD includes all songs recorded on Cassette ""King of the Klezmers -"
presents a Klezmer Wedding VOL 5""/ MLO 9","","","Freedman/In honor of Richy Gendelman by his brother Marvin & mother, Esther","x","x"
"AP1071","Bar Mitzvah Favorites                 Marty Levitt Orchestra","באַליבטע בּר מצװה ניגונים","","0","0","Cassette/Audio CD copy","","","","","","13","","local","","","x","x"
"AP1072","Marty Levitt           The ""Undisputed"" King of the Klezmers","","","0","0","","","","","","","0","","","","","","x"
"AP1073","Kol Nidre In Moscow","","","0","62","","","","","","","0","Actually recorded in the Central Synagogue, Moscow, U.S.S.R. by -"
Tuvye Schiff, Sept. 15, 1956. Greetings from Chief Rabbi -"
Schliefer and remarks from Khazn Barkan.-","","","","",""
"AP1074","First Live Chassidic Wedding      Joe King and his Orchestra","","","0","63","","","","","","","0","","local","","","",""
"AP1075","Leo Fuld                                    My Yiddishe Mama","","","0","40","Audio CD copy x323","","","","","","0","","","","","",""
"AP1076","Leiele Fisher chansons Ydish","לאהלע פֿישער זינגט ייִדישע לידער","","0","40","","","","","","","0","","local","","","",""
"AP1077","The Feder Sisters / Some Like It Yiddish","","","0","40","33 1/3 rpm 12""/Audio CD copy x322","","Yiddish","Theatre/Folk/Pop","New York","","12","","","","","",""
"AP1078","Yiddish Maestro Please                     The Feder Sisters","","","0","40","33 1/3 rpm 12""/Audio CD copy x380","","Yiddish","Pop/Theater/Swing","New York","","12","Orchestra conducted by Abe Ellstein.","local","1963","Gift of Florida Atlantic University, February 2007","",""
"AP1079","Irina Fogelson Sings: Yiddish Hebrew Russian English","","","0","40","Cass./33 1/3 rpm 12""/Audio CD copy","","Multi","Pop/Cabaret","","","12","","local","","","x","x"
"AP108","Sidor Belarsky                   Purim Festival in Town Hall","לכּבוד יום טוב","","0","8","33 1/3 rpm 12""/Audio CD copy x167","","Yiddish/Hebrew","Purim Songs","New York","","12","","http://faujsa.fau.edu/belarsky/belarsky_playlist.php?jsa_num=402873&queryWhere=jsa_num&queryValue=402873","","","","x"
"AP1080","Moti Fuchs sings Chasidic / Pure Soul","מוטי פוקס שיר חסידי    נשמה טהורה","","0","0","Audio CD Copy/Cassette X90","","Hebrew","Religious","","","8","","local","","","x",""
"AP1081","Den Flygande Bokrullen                     /20th Century Klezmer","","Cover contains photograph of the band members with instruments. -"
Liner notes give background info about the band.","0","0","Audio CD","","","Instrumental/Klezmer/Traditional","Stockholm, Sweden","","17","","","1998","Gift, KlezKamp 1999","","x"
"AP1082","Rozhinkes Mit Mandlen.....treasures of Avrom Goldfaden songs","","","0","42","33 1/3 rpm 10""","","Yiddish","Theatre/Goldfaden/Concert/Duet","New York","","0","","local","","","",""
"AP1083","The Witch by A. Goldfaden               Original Israel Cast","המכשפה של פ' א. גולדפאדן","","0","42","","","","","","","0","","local","","","",""
"AP1084","Dos Gezang Fun Mayn Harts                       Mary Soreanu","דאָס געזאַנג פֿון מײַן האַרץ   מערי סאָרעאַנו","","0","42","331/3 rpm 12""/ Audio CD copy","","","","","","14","","","","","",""
"AP1085","Jennie Goldstein Sings Yiddish Theatre Hits         Volume 2","","","0","42","33 13 rpm 12""/ Audio CD copy","","Yiddish","Theater/Vaudeville","New York","","10","","local","1966","","","x"
"AP1086","Zamir Chorale Of Boston / An Hour In The Garden Of Eden / Joshua Jacobson Director","אַ שעה אין גן־עדן","","0","0","Audio CD Copy/ X15","","Yiddish","Choral/Folk/Literary Origin","Boston, MA","","15","","","","Courtesy of Elaine Dushoff","x",""
"AP1087","Hamegila 83","המגילה 83","","0","75","","","","","","","0","","","","","",""
"AP1088","40 Favorite Jewish Melodies","40 באַליבטע ייִדישע לידער","","0","75","33 1/3 rpm 12""","","","Instrumental/Orchestral","Tel Aviv, Israel","","0","","","","","",""
"AP1089","Meredith                         Heritage of Jewish Folklore","אַ ייִדישע ירושה","","0","0","Audio CD","","Yiddish","Folk/Theater/Literary Origin","Paris, France","","16","","","","Gift of Robert & Molly Freedman","","x"
"AP109","Sidor Belarsky in songs by Soviet Yiddish Poets & Composers","סידאָר בעלאַרסקי  לידער פֿון סאָװעטעשע-ייִדישע דיכטער און קאָמפּ...","","0","8","33 1/3 rpm 12""/Audio CD copy x166","","Yiddish","Songs of Literary Origin","New York","","12","Liner Notes by Elizabeth P. Gordon (Chana Mlotek)","http://faujsa.fau.edu/belarsky/belarsky_playlist.php?jsa_num=401358&queryWhere=jsa_num&queryValue=401358","","","","x"
"AP1090","Chanukah            Moscow Ensemble of Jewish Music ""Mitzwa""","חנוכּה","","0","0","","","","","","","0","","","","","","x"
"AP1091","The Day of Judgment          Moscow Ensemble of Jewish Music","יוֹם-כּיפּוּר","","0","0","","","","","","","0","","","","","","x"
"AP1092","Gittele & Goldele Malavsky                     Yiddish Songs","","","0","76","","","","","","","0","","","","","",""
"AP1093","Jewish Songs My Mother Sang To Me The Malavsky Family Choir","","","0","76","","","","","","","0","","","","","",""
"AP1094","Malka & Joso           Jewish Songs       Hebrew and Yiddish","","","0","76","","","","","","","0","","","","","",""
"AP1095","Fraydele Oysher and her daughter Marilyn Michaels","""אידישער נשמה""","","0","76","33 1/3 rpm 12""/Audio CD copy x536","","Yiddish/Hebrew","Folk/Cantorial","","","11","","","","","",""
"AP1096","In Memoriam Darius Milhaud 1892-1974","","","0","77","","","","","","","0","","","","","",""
"AP1097","Jewish Wedding Dances featuring Sam Musiker and his Clarinet","","","0","77","33 1/3 rpm 12"" & 33 1/3 rpm 10""","","","Kleazsmer/Instrumental/Dances","New York, NY","","8","","","","10"" album gift of Dan and Felice Perlmutter, Sept 2013","",""
"AP1098","Chants Judeo-Espagnols Du XVIe Siecle...par Sarah Gorby","","","0","0","Cassette / Audio CD copy x557","","Ladino","Folk/Sephardic","","","12","Cassette Copy Courtesy of Dr. Ellen Prince, Univ. of Penna.  From -"
the Collection of H. Weiller, Grosse Pointe Park, Mich.","","","Courtesy of Dr Ellen Prince","x",""
"AP1099","Sarah Gorby      Cantique Des Cantiques    Cantate Hebraique","","","0","0","Cassette / Audio CD copy x558","","Hebrew","","","","1","This album has not been catalogued at the title or track record.","","","Courtesy of Dr Ellen Prince","x",""
"AP11","Sholom Aleichem's Tales From The Old Country  Howard DaSilva","","","0","3","Two 12""Alb 78/Audio CD copy","","English","Theater","USA","","3","","local","","Bar Mitzva Gift to Robert Freedman from Dassy and Isrolik Cherson, 1942","","x"
"AP110","Seder Nights with Sidor Belarsky","לכּבֿד יום טובֿ פּסח","","0","8","33 1/3 rpm 12"" - 2 album set","","Yiddish/Hebrew","Passover Songs","New York","","41","","http://faujsa.fau.edu/belarsky/belarsky_playlist.php?jsa_num=400945&queryWhere=jsa_num|A|B&queryValue=400945","","","",""
"AP1100","Sarah Gorby  78 rpm Recordings from NY Public Library & YIVO","","","0","0","Cassette / Audio CD copy x341","","","","","","0","","","","","x",""
"AP1101","Sarah Gorby                   en sus creaciones inolvidables","","","0","0","Cassette/ Audio CD copy x572","","","","","","0","Cassette copy of album courtesy of Dr. Ellen Prince of the Univ. -"
of Penna.","","","","x",""
"AP1102","Romanceros Judio-Espanoles   Sarah Gorby   Jose Luis, Guitar","","","0","44","12"" Alb 33 1/3/Audio CD copy x573","","","","","","0","","","","","x",""
"AP1103","Cantor Leib Glantz       Prayer and Song    Recorded 1940-58","שירי ותפילה","","0","0","Cassette/Audio CD copy x606","","","","","","0","","","","","x","x"
"AP1104","Suzanne Gross                             Suzanne in Concert","","","0","0","Cassette/Audio CD copy x605","","French/English/Yiddish","Concert","USA","","7","Recorded Live at the 1963 Folk Festival of Phila. and Ethical -"
Society Auditorium.","","","","x","x"
"AP1105","Nira Rabinovitz /Shlomo Nitzan Shabbat, Hassidic & Folk Songs","נירה רבּינוביץ  שלמה ניצן    שירי חסידים, שירי שבּת ועוד...","","0","79","33 rpm 12"" album","","","","Israel","","0","","","","","",""
"AP1106","Nira Rabinovitz /Shlomo Nitzan                 Passover Songs","נירה רבּינוביץ  שלמה ניצן    שירי פּסח","","0","80","33 rpm 12"" album/Audio CD copy","","","","Israel","","0","","local","","CD made from LP (dupe) gift of Dan Ben-Amos 12/2015","","x"
"AP1107","Nira Rabinovitz   / Shlomo Nitzan      Shabat & Hasidic Songs","לכו נרננה שלמה מיצן נירה רבּינוביץ זמירית לשבּת וניגוני חסידים","","0","80","33 rpm 12"" album/ & Comm. 5 1/4 CD","","Hebrew","","Israel","","0","","","1995","CD Gift of Israeli House of the Consulate General of the State of Israel","","x"
"AP1108","The Zemel Choir Conducted by Antony Saunders","","","0","120","33 1/3 rpm 12""","","Hebrew","Choral","England","","11","","","No Date Given","Purchase, Blackwell's Music Shop, Oxford, England","",""
"AP1109","K'zohar Harakiya    Brightness Of The Sky       Israel Zohar","כּזוהר הרקיע    ישׂראל זוהר","","0","120","","","","","","","0","","","","","",""
"AP111","Sidor Belarsky in Rosh Hashana T'filos","װי מײַן זײדן האַט געדאַװענט","","0","9","33 1/3 rpm 12""","","Hebrew","Cantorial/Prayers","New York","","8","","http://faujsa.fau.edu/belarsky/belarsky_playlist.php?jsa_num=400018&queryWhere=jsa_num&queryValue=400018","","","","x"
"AP1110","The Best Of Maurice Friedman","","","0","38","33 1/3 rpm 12""/ Audio CD copy","","Yiddish","","","","12","Twelve Song Pictures from Jewish Life, in Yiddish with English -"
Narration. Susie Michael, Pianist Narrator.","local","","","","x"
"AP1111","The Golden Years of Cantorial Music  Vol. 1","","","0","25","","","","","","","0","","","","","",""
"AP1112","Golden Voices of Israel/ Sings Yiddish Masterpieces","שירי הזהב בּייִדיש","","0","0","","","","","","","0","","","","","x",""
"AP1113","B'Kol Ishah                       The Voice of Women Cantors","","","0","0","Cassette/Audio CD copy x262","","","","","","0","Live Concert at B'nai Emet Synagogue, Minneapolis, Minnesota, -"
November 20, 1994.","","","","x",""
"AP1114","Chants De L'exil 1200-1600   Boston Camerata      Joel Cohen","","","0","25","33 1/3 rpm 12""/Audio CD copy x273","","Ladino/German","Medieval","France","","12","","local","1981","","",""
"AP1115","We Wish You Love/Baruch Cohon/Israeli Entertainment Ensemble","","","0","25","33 1/3 rpm album","","","","","","0","English text and translation with album notes.-","","","","",""
"AP1116","Zvi Caspi sings Memories From Home","צבֿי כּספּי זינגט זכּרונות פֿון טאַטנ'ס הײם","","0","25","","","","","","","0","Selected songs of Mordecai Gebirtig.","","","","",""
"AP1117","Arkady Chuchiny in Yiddish Songs","ארקדי קרוצ'יני","","0","0","45rpm 7""","","","","","","0","","","","","",""
"AP1118","Clara Crasner and  Others, Field Tape","","","0","0","Cassette/Audio CD copy x272","","Yiddish","Field Tape/Folk","USA","","22","","","","Gift of Robert & Molly Freedman 1972","x",""
"AP1119","Let's Be Freilach / Jay Chernow and his Hi-Hats Ensemble / 50 Years of Collecting","","","0","25","33 1/3 rpm 12""/Audio CD copy x275","","","Instrumental/Klezmer","","","0","","local","","","",""
"AP112","Sidor Belarsky  Festival of Music for Sukkos & Simchas Torah","יום טובֿ תפילות לכּבֿוד סוכּות ושמחת תורה","","0","9","33 1/3 rpm 12""/Audio CD copy","","","Cantorials","New York","","13","Songs composed for Sidor Belarsky by Cantor Israel Alter","http://faujsa.fau.edu/belarsky/belarsky_playlist.php?jsa_num=401910&queryWhere=jsa_num&queryValue=401910","","","","x"
"AP1120","The Jewish Heart sung by Dina Claire","","","0","25","33 1/3 rpm  12""/Audio CD copy x274","","Hebrew/Yiddish","","","","0","","local","","","",""
"AP1121","The Chai Duo                      William Gunther, Conductor","חי","","0","0","","","","","","","0","","","","","x",""
"AP1122","Schindler's List       Composed & Conducted by John Williams","","","0","0","","","","","","","0","","","","","","x"
"AP1123","Paved With Gold Starring Gary & Janice Waldman","","","0","0","Cassette","","","","","","0","Featuring Jon Delfin & The Golden Land Klezmer Orchestra. -"
Features music complied from Golden Land, On Second Ave & Those -"
Were The Days.","","","","x",""
"AP1124","Laura Wetzler                   A World oF Jewish Folk Music","","","0","0","","","","","","","0","","","","","x",""
